traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
瘚,瘚,jue2],to hiccup,the humours of the body,,,,,,,,,,,,,,,,
瘛,瘛,chi4],see 瘛瘲|瘛疭[chi4 zong4],,,,,,,,,,,,,,,,,
瘛瘲,瘛疭,chi4 zong4],clonic convulsion (TCM),,,,,,,,,,,,,,,,,
瘜,瘜,xi1],a polypus,,,,,,,,,,,,,,,,,
瘜肉,瘜肉,xi1 rou4],variant of 息肉[xi1 rou4],,,,,,,,,,,,,,,,,
瘝,瘝,guan1],incapacitated,inefficient,,,,,,,,,,,,,,,,
瘞,瘗,yi4],bury,sacrifice,,,,,,,,,,,,,,,,
瘟,瘟,wen1],epidemic,pestilence,plague,,,,,,,,,,,,,,,
瘟疫,瘟疫,wen1 yi4],epidemic,plague,pestilence,diseased,,,,,,,,,,,,,,
瘟神,瘟神,wen1 shen2],demon personifying pestilence,,,,,,,,,,,,,,,,,
瘠,瘠,ji2],barren,lean,,,,,,,,,,,,,,,,
瘠薄,瘠薄,ji2 bo2],(of land) infertile,barren,,,,,,,,,,,,,,,,
瘡,疮,chuang1],sore,skin ulcer,,,,,,,,,,,,,,,,
瘡口,疮口,chuang1 kou3],wound,open sore,,,,,,,,,,,,,,,,
瘡疤,疮疤,chuang1 ba1],scar,,,,,,,,,,,,,,,,,
瘡痂,疮痂,chuang1 jia1],scab,,,,,,,,,,,,,,,,,
瘡痍,疮痍,chuang1 yi2],wound,skin ulcer,(fig.) the desolation of trauma,desolation in the aftermath of a disaster,,,,,,,,,,,,,,
瘡痍滿目,疮痍满目,chuang1 yi2 man3 mu4],lit. bumps and bruises everywhere (idiom); fig. an ugly shambles,devastation everywhere,,,,,,,,,,,,,,,,
瘡痕,疮痕,chuang1 hen2],scar,scarred skin,,,,,,,,,,,,,,,,
瘡瘍,疮疡,chuang1 yang2],sore,skin ulcer,,,,,,,,,,,,,,,,
瘢,瘢,ban1],mark,scar on the skin,,,,,,,,,,,,,,,,
瘢痕,瘢痕,ban1 hen2],scar,,,,,,,,,,,,,,,,,
瘤,瘤,liu2],tumor,,,,,,,,,,,,,,,,,
瘤子,瘤子,liu2 zi5],tumor,,,,,,,,,,,,,,,,,
瘤鴨,瘤鸭,liu2 ya1],(bird species of China) knob-billed duck (Sarkidiornis melanotos),,,,,,,,,,,,,,,,,
瘥,瘥,chai4],to recover from disease,,,,,,,,,,,,,,,,,
瘥,瘥,cuo2],disease,,,,,,,,,,,,,,,,,
瘦,瘦,shou4],thin,to lose weight,(of clothing) tight,(of meat) lean,(of land) unproductive,,,,,,,,,,,,,
瘦削,瘦削,shou4 xue1],slim,,,,,,,,,,,,,,,,,
瘦子,瘦子,shou4 zi5],thin person,,,,,,,,,,,,,,,,,
瘦小,瘦小,shou4 xiao3],slightly-built,petite,,,,,,,,,,,,,,,,
瘦巴巴,瘦巴巴,shou4 ba1 ba1],thin,scrawny,emaciated,,,,,,,,,,,,,,,
瘦弱,瘦弱,shou4 ruo4],thin and weak,,,,,,,,,,,,,,,,,
瘦肉,瘦肉,shou4 rou4],lean meat,,,,,,,,,,,,,,,,,
瘦肉精,瘦肉精,shou4 rou4 jing1],leanness-enhancing agent,,,,,,,,,,,,,,,,,
瘦身,瘦身,shou4 shen1],to lose weight (intentionally),to slim down,(Tw) to downsize (a business),,,,,,,,,,,,,,,
瘦長,瘦长,shou4 chang2],slim,,,,,,,,,,,,,,,,,
瘦骨伶仃,瘦骨伶仃,shou4 gu3 ling2 ding1],emaciated,scrawny,,,,,,,,,,,,,,,,
瘦骨嶙峋,瘦骨嶙峋,shou4 gu3 lin2 xun2],skinny; emaciated (idiom),,,,,,,,,,,,,,,,,
瘦骨棱棱,瘦骨棱棱,shou4 gu3 leng2 leng2],bony,skinny,,,,,,,,,,,,,,,,
瘧,疟,nu:e4],malaria,,,,,,,,,,,,,,,,,
瘧,疟,yao4],see 瘧子|疟子[yao4 zi5],,,,,,,,,,,,,,,,,
瘧原蟲,疟原虫,nu:e4 yuan2 chong2],plasmodium (malaria parasite),,,,,,,,,,,,,,,,,
瘧子,疟子,yao4 zi5],(coll.) malaria,,,,,,,,,,,,,,,,,
瘧疾,疟疾,nu:e4 ji2],malaria,,,,,,,,,,,,,,,,,
瘧疾病,疟疾病,nu:e4 ji2 bing4],malaria,,,,,,,,,,,,,,,,,
瘧蚊,疟蚊,nu:e4 wen2],Anopheles (type of mosquito),,,,,,,,,,,,,,,,,
瘨,瘨,dian1],convulsions,crazy,,,,,,,,,,,,,,,,
瘩,瘩,da2],sore,boil,scab,,,,,,,,,,,,,,,
瘭,瘭,biao1],whitlow,,,,,,,,,,,,,,,,,
瘮,瘆,shen4],to terrify,,,,,,,,,,,,,,,,,
瘯,瘯,cu4],(skin disease),,,,,,,,,,,,,,,,,
瘰,瘰,luo3],scrofula,tuberculosis of glands,,,,,,,,,,,,,,,,
瘰癧,瘰疬,luo3 li4],scrofula (in Chinese medicine),,,,,,,,,,,,,,,,,
瘰螈,瘰螈,luo3 yuan2],triton,,,,,,,,,,,,,,,,,
瘲,疭,zong4],see 瘛瘲|瘛疭[chi4 zong4],,,,,,,,,,,,,,,,,
瘳,瘳,chou1],to convalesce,to recover,to heal,,,,,,,,,,,,,,,
瘴,瘴,zhang4],malaria,miasma,,,,,,,,,,,,,,,,
瘴癘,瘴疠,zhang4 li4],tropical disease attributed to miasma,malaria,,,,,,,,,,,,,,,,
瘵,瘵,zhai4],focus of tubercular infection,,,,,,,,,,,,,,,,,
瘸,瘸,que2],lame,,,,,,,,,,,,,,,,,
瘸子,瘸子,que2 zi5],lame person (colloquial),,,,,,,,,,,,,,,,,
瘸腿,瘸腿,que2 tui3],crippled,lame,a cripple,a lame person,,,,,,,,,,,,,,
瘺,瘺,lou4],variant of 瘻|瘘[lou4],,,,,,,,,,,,,,,,,
瘻,瘘,lou4],fistula,ulceration,,,,,,,,,,,,,,,,
瘻管,瘘管,lou4 guan3],fistula,,,,,,,,,,,,,,,,,
瘼,瘼,mo4],distress,sickness,,,,,,,,,,,,,,,,
癀,癀,huang2],see 癀病[huang2 bing4],,,,,,,,,,,,,,,,,
癀病,癀病,huang2 bing4],(dialect) anthrax,,,,,,,,,,,,,,,,,
療,疗,liao2],to treat,to cure,therapy,,,,,,,,,,,,,,,
療傷,疗伤,liao2 shang1],healing,to heal,to make healthy again,,,,,,,,,,,,,,,
療效,疗效,liao2 xiao4],healing efficacy,healing effect,,,,,,,,,,,,,,,,
療法,疗法,liao2 fa3],therapy,treatment,,,,,,,,,,,,,,,,
療癒,疗愈,liao2 yu4],to heal,therapy,,,,,,,,,,,,,,,,
療程,疗程,liao2 cheng2],course of treatment,,,,,,,,,,,,,,,,,
療養,疗养,liao2 yang3],to get well,to heal,to recuperate,to convalesce,convalescence,to nurse,,,,,,,,,,,,
療養所,疗养所,liao2 yang3 suo3],sanitorium,convalescent hospital,,,,,,,,,,,,,,,,
癃,癃,long2],infirmity,retention of urine,,,,,,,,,,,,,,,,
癃閉,癃闭,long2 bi4],illness having to do with obstruction of urine flow,(Chinese medicine),retention of urine,,,,,,,,,,,,,,,
癄,憔,qiao2],old variant of 憔[qiao2],,,,,,,,,,,,,,,,,
癅,瘤,liu2],old variant of 瘤[liu2],,,,,,,,,,,,,,,,,
癆,痨,lao2],tuberculosis,,,,,,,,,,,,,,,,,
癆病,痨病,lao2 bing4],tuberculosis (TCM),,,,,,,,,,,,,,,,,
癇,痫,xian2],epilepsy,insanity,,,,,,,,,,,,,,,,
癈,废,fei4],variant of 廢|废[fei4],disabled,,,,,,,,,,,,,,,,
癉,瘅,dan1],(disease),,,,,,,,,,,,,,,,,
癉,瘅,dan4],to hate,,,,,,,,,,,,,,,,,
癌,癌,ai2],cancer,carcinoma,also pr. [yan2],,,,,,,,,,,,,,,
癌症,癌症,ai2 zheng4],cancer,,,,,,,,,,,,,,,,,
癌細胞,癌细胞,ai2 xi4 bao1],cancer cell,,,,,,,,,,,,,,,,,
癌變,癌变,ai2 bian4],to become cancerous,transformation to malignancy (of body cells),,,,,,,,,,,,,,,,
癎,癎,xian2],variant of 癇|痫 epilepsy,,,,,,,,,,,,,,,,,
癐,癐,gui4],variant of 攰[gui4],,,,,,,,,,,,,,,,,
癒,愈,yu4],variant of 愈[yu4],to heal,,,,,,,,,,,,,,,,
癒復,愈复,yu4 fu4],recovery (after illness),,,,,,,,,,,,,,,,,
癔,癔,yi4],see 癔病[yi4 bing4],,,,,,,,,,,,,,,,,
癔病,癔病,yi4 bing4],hysteria,,,,,,,,,,,,,,,,,
癕,癕,yong1],old variant of 癰|痈[yong1],,,,,,,,,,,,,,,,,
癖,癖,pi3],habit,hobby,,,,,,,,,,,,,,,,
癖好,癖好,pi3 hao4],an urge,a craving,an addiction,,,,,,,,,,,,,,,
癘,疠,li4],ulcer,plague,,,,,,,,,,,,,,,,
癙,癙,shu3],illness caused by worry,,,,,,,,,,,,,,,,,
癜,癜,dian4],erythema,leucoderm,,,,,,,,,,,,,,,,
癟,瘪,bie3],deflated,shriveled,sunken,empty,,,,,,,,,,,,,,
癟三,瘪三,bie1 san1],a wretched-looking tramp who lives by begging or stealing,,,,,,,,,,,,,,,,,
癟螺痧,瘪螺痧,bie3 luo2 sha1],cholera (with dehydration),,,,,,,,,,,,,,,,,
癟陷,瘪陷,bie3 xian4],deflated,,,,,,,,,,,,,,,,,
癠,癠,ji4],sick,diseased,,,,,,,,,,,,,,,,
癡,痴,chi1],variant of 痴[chi1],,,,,,,,,,,,,,,,,
癡傻,痴傻,chi1 sha3],stupid,foolish,,,,,,,,,,,,,,,,
癡呆,痴呆,chi1 dai1],imbecility,dementia,,,,,,,,,,,,,,,,
癡情,痴情,chi1 qing2],infatuation,,,,,,,,,,,,,,,,,
癢,痒,yang3],to itch,to tickle,,,,,,,,,,,,,,,,
癢癢,痒痒,yang3 yang5],to itch,to tickle,,,,,,,,,,,,,,,,
癢癢撓,痒痒挠,yang3 yang5 nao2],backscratcher (made from bamboo etc),,,,,,,,,,,,,,,,,
癤,疖,jie2],pimple,sore,boil,,,,,,,,,,,,,,,
癥,症,zheng1],abdominal tumor,bowel obstruction,(fig.) sticking point,,,,,,,,,,,,,,,
癥結,症结,zheng1 jie2],hard lump in the abdomen (in Chinese medicine),crux of an issue,main point in an argument,sticking point,deadlock in negotiations,,,,,,,,,,,,,
癧,疬,li4],see 瘰癧|瘰疬[luo3 li4],,,,,,,,,,,,,,,,,
癩,癞,lai4],scabies,skin disease,,,,,,,,,,,,,,,,
癩皮病,癞皮病,lai4 pi2 bing4],pellagra,scabies,,,,,,,,,,,,,,,,
癩蛤蟆,癞蛤蟆,lai4 ha2 ma5],toad,,,,,,,,,,,,,,,,,
癪,癪,ji1],spasms,convulsions,hysteria,,,,,,,,,,,,,,,
癬,癣,xuan3],ringworm,Taiwan pr. [xian3],,,,,,,,,,,,,,,,
癭,瘿,ying3],goiter,knob on tree,,,,,,,,,,,,,,,,
癮,瘾,yin3],addiction,craving,,,,,,,,,,,,,,,,
癮君子,瘾君子,yin3 jun1 zi3],opium eater,drug addict,chain smoker,,,,,,,,,,,,,,,
癮頭,瘾头,yin3 tou2],craving,addiction,,,,,,,,,,,,,,,,
癮頭兒,瘾头儿,yin3 tou2 r5],erhua variant of 癮頭|瘾头[yin3 tou2],,,,,,,,,,,,,,,,,
癯,癯,qu2],thin,emaciated,worn,tired,,,,,,,,,,,,,,
癯瘦,癯瘦,qu2 shou4],thin,emaciated,,,,,,,,,,,,,,,,
癰,痈,yong1],carbuncle,,,,,,,,,,,,,,,,,
癱,瘫,tan1],paralyzed,,,,,,,,,,,,,,,,,
癱子,瘫子,tan1 zi5],paralyzed person,,,,,,,,,,,,,,,,,
癱瘓,瘫痪,tan1 huan4],paralysis,be paralyzed (body transportation etc),,,,,,,,,,,,,,,,
癱軟,瘫软,tan1 ruan3],limp,weak,,,,,,,,,,,,,,,,
癲,癫,dian1],mentally deranged,crazy,,,,,,,,,,,,,,,,
癲狂,癫狂,dian1 kuang2],deranged,mad,cracked,zany,,,,,,,,,,,,,,
癲癇,癫痫,dian1 xian2],epilepsy,,,,,,,,,,,,,,,,,
癸,癸,gui3],tenth of the ten Heavenly Stems 十天干[shi2 tian1 gan1],tenth in order,"letter ""J"" or roman ""X"" in list ""A B C"" or ""I II III"" etc",ancient Chinese compass point: 15°,deca,,,,,,,,,,,,,
癸丑,癸丑,gui3 chou3],fiftieth year J2 of the 60 year cycle e.g. 1973 or 2033,,,,,,,,,,,,,,,,,
癸亥,癸亥,gui3 hai4],sixtieth year J12 of the 60 year cycle e.g. 1983 or 2043,,,,,,,,,,,,,,,,,
癸卯,癸卯,gui3 mao3],fortieth year J4 of the 60 year cycle e.g. 1963 or 2023,,,,,,,,,,,,,,,,,
癸巳,癸巳,gui3 si4],thirtieth year J6 of the 60 year cycle e.g. 2013 or 2073,,,,,,,,,,,,,,,,,
癸未,癸未,gui3 wei4],twentieth year J8 of the 60 year cycle e.g. 2003 or 2063,,,,,,,,,,,,,,,,,
癸水,癸水,gui3 shui3],menstruation,woman's period,,,,,,,,,,,,,,,,
癸酉,癸酉,gui3 you3],tenth year J10 of the 60 year cycle e.g. 1993 or 2053,,,,,,,,,,,,,,,,,
発,発,fa1],Japanese variant of 發|发,,,,,,,,,,,,,,,,,
登,登,deng1],to scale (a height),to ascend,to mount,to publish or record,to enter (e.g. in a register),to press down with the foot,to step or tread on,to put on (shoes or trousers) (dialect),to be gathered and taken to the threshing ground (old),,,,,,,,,
登上,登上,deng1 shang4],to climb over,to ascend onto,to mount,,,,,,,,,,,,,,,
登仙,登仙,deng1 xian1],to become immortal,big promotion,die,,,,,,,,,,,,,,,
登入,登入,deng1 ru4],to log in (to a computer),to enter (data),,,,,,,,,,,,,,,,
登出,登出,deng1 chu1],to log out (computer),to publish,to be published,to appear (in a newspaper etc),,,,,,,,,,,,,,
登出來,登出来,deng1 chu1 lai2],to publish,to appear (in print),,,,,,,,,,,,,,,,
登基,登基,deng1 ji1],to ascend the throne,,,,,,,,,,,,,,,,,
登堂入室,登堂入室,deng1 tang2 ru4 shi4],from the main room enter the inner chamber (idiom),to go to the next level,to attain a higher level,,,,,,,,,,,,,,,
登報,登报,deng1 bao4],to publish in the newspapers,,,,,,,,,,,,,,,,,
登場,登场,deng1 chang3],to go on stage,fig. to appear on the scene,used in advertising to mean new product,,,,,,,,,,,,,,,
登封,登封,Deng1 feng1],Dengfeng county level city in Zhengzhou 鄭州|郑州[Zheng4 zhou1] Henan,,,,,,,,,,,,,,,,,
登封市,登封市,Deng1 feng1 shi4],Dengfeng county level city in Zhengzhou 鄭州|郑州[Zheng4 zhou1] Henan,,,,,,,,,,,,,,,,,
登山,登山,deng1 shan1],to climb a mountain,climbing,mountaineering,,,,,,,,,,,,,,,
登山家,登山家,deng1 shan1 jia1],mountaineer,,,,,,,,,,,,,,,,,
登山扣,登山扣,deng1 shan1 kou4],carabiner,,,,,,,,,,,,,,,,,
登岸,登岸,deng1 an4],to go ashore,to disembark,,,,,,,,,,,,,,,,
登峰,登峰,deng1 feng1],to climb a mountain,to scale a peak,mountain climbing,mountaineering,,,,,,,,,,,,,,
登峰造極,登峰造极,deng1 feng1 zao4 ji2],to reach great heights (in technical skills or scholastic achievements),,,,,,,,,,,,,,,,,
登庸人才,登庸人才,deng1 yong1 ren2 cai2],to employ talent (idiom),,,,,,,,,,,,,,,,,
登廣告,登广告,deng1 guang3 gao4],to advertise,,,,,,,,,,,,,,,,,
登徒子,登徒子,Deng1 tu2 Zi3],Dengtu Zi famous lecherous character,lecher,skirt-chaser,,,,,,,,,,,,,,,
登愣,登愣,deng1 leng4],ta da!,wow!,,,,,,,,,,,,,,,,
登時,登时,deng1 shi2],immediately,at once,,,,,,,,,,,,,,,,
登月,登月,deng1 yue4],to go (up) to the moon,,,,,,,,,,,,,,,,,
登極,登极,deng1 ji2],to ascend the throne,,,,,,,,,,,,,,,,,
登機,登机,deng1 ji1],to board a plane,,,,,,,,,,,,,,,,,
登機入口,登机入口,deng1 ji1 ru4 kou3],boarding gate,,,,,,,,,,,,,,,,,
登機口,登机口,deng1 ji1 kou3],departure gate (aviation),,,,,,,,,,,,,,,,,
登機廊橋,登机廊桥,deng1 ji1 lang2 qiao2],air bridge,aircraft boarding bridge,,,,,,,,,,,,,,,,
登機手續,登机手续,deng1 ji1 shou3 xu4],(airport) check-in,boarding formalities,,,,,,,,,,,,,,,,
登機手續櫃檯,登机手续柜台,deng1 ji1 shou3 xu4 gui4 tai2],check-in counter,,,,,,,,,,,,,,,,,
登機樓,登机楼,deng1 ji1 lou2],airport terminal,,,,,,,,,,,,,,,,,
登機橋,登机桥,deng1 ji1 qiao2],boarding gate (at airport),aircraft boarding bridge,,,,,,,,,,,,,,,,
登機牌,登机牌,deng1 ji1 pai2],boarding pass,,,,,,,,,,,,,,,,,
登機證,登机证,deng1 ji1 zheng4],boarding pass,,,,,,,,,,,,,,,,,
登機門,登机门,deng1 ji1 men2],boarding gate,,,,,,,,,,,,,,,,,
登臨,登临,deng1 lin2],to visit places famous for their scenery,,,,,,,,,,,,,,,,,
登臺表演,登台表演,deng1 tai2 biao3 yan3],to go on stage,,,,,,,,,,,,,,,,,
登記,登记,deng1 ji4],to register (one's name),,,,,,,,,,,,,,,,,
登記名,登记名,deng1 ji4 ming2],to register one's name,account name (on a computer),,,,,,,,,,,,,,,,
登記員,登记员,deng1 ji4 yuan2],registrar,,,,,,,,,,,,,,,,,
登記用戶,登记用户,deng1 ji4 yong4 hu4],registered user,,,,,,,,,,,,,,,,,
登記表,登记表,deng1 ji4 biao3],registration form,,,,,,,,,,,,,,,,,
登載,登载,deng1 zai3],to publish (in newspapers or magazines),to record (bookkeeping entries),,,,,,,,,,,,,,,,
登輪,登轮,deng1 lun2],to board a ship,,,,,,,,,,,,,,,,,
登遐,登遐,deng1 xia2],death of an emperor,,,,,,,,,,,,,,,,,
登錄,登录,deng1 lu4],to register,to log in,,,,,,,,,,,,,,,,
登門,登门,deng1 men2],to visit sb at home,,,,,,,,,,,,,,,,,
登陸,登陆,deng1 lu4],to land,to come ashore,to make landfall (of typhoon etc),to log in,,,,,,,,,,,,,,
登陸月球,登陆月球,deng1 lu4 yue4 qiu2],moon landing,to land on the moon,,,,,,,,,,,,,,,,
登陸艦,登陆舰,deng1 lu4 jian4],landing craft,,,,,,,,,,,,,,,,,
登革熱,登革热,deng1 ge2 re4],dengue fever,Singapore hemorrhagic fever,,,,,,,,,,,,,,,,
登革疫苗,登革疫苗,deng1 ge2 yi4 miao2],dengue vaccine,,,,,,,,,,,,,,,,,
登革病毒,登革病毒,deng1 ge2 bing4 du2],dengue virus,,,,,,,,,,,,,,,,,
登高一呼,登高一呼,deng1 gao1 yi1 hu1],to make a clarion call,to make a public appeal,,,,,,,,,,,,,,,,
登高望遠,登高望远,deng1 gao1 wang4 yuan3],to stand tall and see far (idiom); taking the long and broad view,acute foresight,,,,,,,,,,,,,,,,
發,发,fa1],to send out,to show (one's feeling),to issue,to develop,to make a bundle of money,classifier for gunshots (rounds),,,,,,,,,,,,
發交,发交,fa1 jiao1],to issue and deliver (to people),,,,,,,,,,,,,,,,,
發亮,发亮,fa1 liang4],to shine,shiny,,,,,,,,,,,,,,,,
發人深省,发人深省,fa1 ren2 shen1 xing3],to provide food for thought (idiom),thought-provoking,,,,,,,,,,,,,,,,
發人深醒,发人深醒,fa1 ren2 shen1 xing3],variant of 發人深省|发人深省[fa1 ren2 shen1 xing3],,,,,,,,,,,,,,,,,
發令,发令,fa1 ling4],to issue an order,,,,,,,,,,,,,,,,,
發令槍,发令枪,fa1 ling4 qiang1],starting pistol,,,,,,,,,,,,,,,,,
發件人,发件人,fa1 jian4 ren2],sender (of mail),From: (email header),,,,,,,,,,,,,,,,
發佈,发布,fa1 bu4],to release,to issue,to announce,to distribute,also written 發布|发布[fa1 bu4],,,,,,,,,,,,,
發佈會,发布会,fa1 bu4 hui4],news conference,briefing,,,,,,,,,,,,,,,,
發作,发作,fa1 zuo4],to flare up,to break out,,,,,,,,,,,,,,,,
發作性嗜睡病,发作性嗜睡病,fa1 zuo4 xing4 shi4 shui4 bing4],narcolepsy,,,,,,,,,,,,,,,,,
發信,发信,fa1 xin4],to post a letter,,,,,,,,,,,,,,,,,
發光,发光,fa1 guang1],to shine,,,,,,,,,,,,,,,,,
發光二極管,发光二极管,fa1 guang1 er4 ji2 guan3],light-emitting diode,LED,,,,,,,,,,,,,,,,
發光二極體,发光二极体,fa1 guang1 er4 ji2 ti3],light-emitting diode (LED) (Tw),,,,,,,,,,,,,,,,,
發光強度,发光强度,fa1 guang1 qiang2 du4],luminous intensity,,,,,,,,,,,,,,,,,
發兵,发兵,fa1 bing1],to dispatch an army,to send troops,,,,,,,,,,,,,,,,
發冷,发冷,fa1 leng3],to feel a chill (as an emotional response),to feel cold (as a clinical symptom),,,,,,,,,,,,,,,,
發出,发出,fa1 chu1],to issue (an order decree etc),to send out,to dispatch,to produce (a sound),to let out (a laugh),,,,,,,,,,,,,
發出指示,发出指示,fa1 chu1 zhi3 shi4],to issue instructions,,,,,,,,,,,,,,,,,
發刊,发刊,fa1 kan1],to publish,to put out (a document),,,,,,,,,,,,,,,,
發刊詞,发刊词,fa1 kan1 ci2],foreword,preface (to a publication),,,,,,,,,,,,,,,,
發動,发动,fa1 dong4],to start,to launch,to unleash,to mobilize,to arouse,,,,,,,,,,,,,
發動力,发动力,fa1 dong4 li4],motive power,,,,,,,,,,,,,,,,,
發動機,发动机,fa1 dong4 ji1],engine,motor,CL:臺|台[tai2],,,,,,,,,,,,,,,
發包,发包,fa1 bao1],to put out to contract,,,,,,,,,,,,,,,,,
發卡,发卡,fa1 ka3],to issue a card,(slang) to reject a guy or a girl,to chuck,,,,,,,,,,,,,,,
發呆,发呆,fa1 dai1],to stare blankly,to be stunned,to be lost in thought,,,,,,,,,,,,,,,
發售,发售,fa1 shou4],to sell,,,,,,,,,,,,,,,,,
發問,发问,fa1 wen4],to question,to ask,to raise a question,,,,,,,,,,,,,,,
發喉急,发喉急,fa1 hou2 ji2],to get in a rage,,,,,,,,,,,,,,,,,
發喪,发丧,fa1 sang1],to hold a funeral,,,,,,,,,,,,,,,,,
發嘎嘎聲,发嘎嘎声,fa1 ga1 ga1 sheng1],rattle,,,,,,,,,,,,,,,,,
發噓聲,发嘘声,fa1 xu1 sheng1],to hiss (as a sign of displeasure),,,,,,,,,,,,,,,,,
發回,发回,fa1 hui2],to send back,to return,,,,,,,,,,,,,,,,
發報,发报,fa1 bao4],to send a message,,,,,,,,,,,,,,,,,
發報人,发报人,fa1 bao4 ren2],sender (of a message),,,,,,,,,,,,,,,,,
發奮,发奋,fa1 fen4],to make an effort,to push for sth,to work hard,,,,,,,,,,,,,,,
發奮圖強,发奋图强,fa1 fen4 tu2 qiang2],to make an effort to become strong (idiom); determined to do better,to pull one's socks up,,,,,,,,,,,,,,,,
發奮有為,发奋有为,fa1 fen4 you3 wei2],to prove one's worth through firm resolve (idiom),,,,,,,,,,,,,,,,,
發好人卡,发好人卡,fa1 hao3 ren2 ka3],(slang) to reject sb (by labeling them a 'nice guy'),,,,,,,,,,,,,,,,,
發家,发家,fa1 jia1],to lay down a family fortune,to get rich,to become prosperous,,,,,,,,,,,,,,,
發射,发射,fa1 she4],to shoot (a projectile),to fire (a rocket),to launch,to emit (a particle),to discharge,emanation,emission,,,,,,,,,,,
發射井,发射井,fa1 she4 jing3],launching silo,,,,,,,,,,,,,,,,,
發射器,发射器,fa1 she4 qi4],radio transmitter,,,,,,,,,,,,,,,,,
發射場,发射场,fa1 she4 chang3],launchpad,launching site,,,,,,,,,,,,,,,,
發射星雲,发射星云,fa1 she4 xing1 yun2],radiant nebula,,,,,,,,,,,,,,,,,
發射機,发射机,fa1 she4 ji1],transmitter,,,,,,,,,,,,,,,,,
發射機應答器,发射机应答器,fa1 she4 ji1 ying4 da2 qi4],transponder,electronic device that responds to a radio code,,,,,,,,,,,,,,,,
發射站,发射站,fa1 she4 zhan4],launch pad (for rocket or projectile),,,,,,,,,,,,,,,,,
發展,发展,fa1 zhan3],development,growth,to develop,to grow,to expand,,,,,,,,,,,,,
發展中,发展中,fa1 zhan3 zhong1],developing,under development,in the pipeline,,,,,,,,,,,,,,,
發展中國家,发展中国家,fa1 zhan3 zhong1 guo2 jia1],developing country,,,,,,,,,,,,,,,,,
發展商,发展商,fa1 zhan3 shang1],(real estate etc) developer,,,,,,,,,,,,,,,,,
發展研究中心,发展研究中心,fa1 zhan3 yan2 jiu1 zhong1 xin1],Development Research Center (PRC State Council institution),,,,,,,,,,,,,,,,,
發工資日,发工资日,fa1 gong1 zi1 ri4],payday,pay day,,,,,,,,,,,,,,,,
發布,发布,fa1 bu4],to release,to issue,to announce,to distribute,,,,,,,,,,,,,,
發布會,发布会,fa1 bu4 hui4],news conference,briefing,,,,,,,,,,,,,,,,
發帖,发帖,fa1 tie3],to post (an item on a forum),,,,,,,,,,,,,,,,,
發怒,发怒,fa1 nu4],to get angry,,,,,,,,,,,,,,,,,
發怔,发怔,fa1 zheng1],baffled,nonplussed,,,,,,,,,,,,,,,,
發急,发急,fa1 ji2],to fret,to get impatient,to become anxious,,,,,,,,,,,,,,,
發怵,发怵,fa1 chu4],to feel terrified,to grow apprehensive,,,,,,,,,,,,,,,,
發情,发情,fa1 qing2],oestrus (sexual receptivity in female mammals),,,,,,,,,,,,,,,,,
發情期,发情期,fa1 qing2 qi1],the breeding season (zool.),oestrus (period of sexual receptivity of female mammals),,,,,,,,,,,,,,,,
發想,发想,fa1 xiang3],to come up with an idea,generation of ideas,inspiration,,,,,,,,,,,,,,,
發愁,发愁,fa1 chou2],to worry,to fret,to be anxious,to become sad,,,,,,,,,,,,,,
發愣,发愣,fa1 leng4],to daydream,in a daze,,,,,,,,,,,,,,,,
發慌,发慌,fa1 huang1],to become agitated,to feel nervous,,,,,,,,,,,,,,,,
發憤,发愤,fa1 fen4],to make a determined effort,,,,,,,,,,,,,,,,,
發憤圖強,发愤图强,fa1 fen4 tu2 qiang2],to be strongly determined to succeed (idiom),,,,,,,,,,,,,,,,,
發憤忘食,发愤忘食,fa1 fen4 wang4 shi2],so dedicated as to forget one's meals (idiom),,,,,,,,,,,,,,,,,
發憷,发憷,fa1 chu4],variant of 發怵|发怵[fa1 chu4],,,,,,,,,,,,,,,,,
發抖,发抖,fa1 dou3],to tremble,to shake,to shiver,,,,,,,,,,,,,,,
發掘,发掘,fa1 jue2],to excavate,to explore,(fig.) to unearth,to tap into,,,,,,,,,,,,,,
發揚,发扬,fa1 yang2],to develop,to make full use of,,,,,,,,,,,,,,,,
發揚光大,发扬光大,fa1 yang2 guang1 da4],to develop and promote,to carry forward,to bring to great height of development,,,,,,,,,,,,,,,
發揚踔厲,发扬踔厉,fa1 yang2 chuo1 li4],to be full of vigor (idiom),,,,,,,,,,,,,,,,,
發揚蹈厲,发扬蹈厉,fa1 yang2 dao3 li4],see 發揚踔厲|发扬踔厉[fa1 yang2 chuo1 li4],,,,,,,,,,,,,,,,,
發揮,发挥,fa1 hui1],to display,to exhibit,to bring out implicit or innate qualities,to express (a thought or moral),to develop (an idea),to elaborate (on a theme),,,,,,,,,,,,
發改委,发改委,Fa1 gai3 wei3],abbr. for 國家發展和改革委員會|国家发展和改革委员会 PRC National Development and Reform Commission (NDRC) formed in 2003,,,,,,,,,,,,,,,,,
發放,发放,fa1 fang4],to provide,to give,to grant,,,,,,,,,,,,,,,
發散,发散,fa1 san4],to disperse,to diverge,,,,,,,,,,,,,,,,
