traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
甩手頓腳,甩手顿脚,shuai3 shou3 dun4 jiao3],to fling one's arms and stamp one's feet (in anger or despair),,,,,,,,,,,,,,,,,
甩掉,甩掉,shuai3 diao4],to throw off,to abandon,to cast off,to get rid of,to dump,,,,,,,,,,,,,
甩臉子,甩脸子,shuai3 lian3 zi5],to grimace with displeasure,to pull a long face,,,,,,,,,,,,,,,,
甩袖子,甩袖子,shuai3 xiu4 zi5],to swing one's sleeve (in anger),,,,,,,,,,,,,,,,,
甩賣,甩卖,shuai3 mai4],to mark down (the price of goods),to sell off cheap,,,,,,,,,,,,,,,,
甩車,甩车,shuai3 che1],to uncouple (wagons or trucks from a train),,,,,,,,,,,,,,,,,
甩遠,甩远,shuai3 yuan3],to cast far from oneself,to leave sb far behind,to outdistance,,,,,,,,,,,,,,,
甩鍾,甩钟,shuai3 zhong1],dice cup,,,,,,,,,,,,,,,,,
甩開,甩开,shuai3 kai1],to shake off,to get rid of,,,,,,,,,,,,,,,,
甩開膀子,甩开膀子,shuai3 kai1 bang3 zi5],to throw off inhibitions,to go all out,,,,,,,,,,,,,,,,
甩頭,甩头,shuai3 tou2],to fling back one's head,,,,,,,,,,,,,,,,,
甪,甪,Lu4],surname Lu,place name,,,,,,,,,,,,,,,,
甪端,甪端,Lu4 duan1],Luduan mythical Chinese beast able to detect the truth,,,,,,,,,,,,,,,,,
甫,甫,fu3],(classical) barely,just,just now,,,,,,,,,,,,,,,
甬,甬,Yong3],the Yongjiang river 甬江[Yong3 jiang1] through Ningbo 寧波|宁波[Ning2 bo1],abbr. for Ningbo,,,,,,,,,,,,,,,,
甬,甬,tong3],variant of 桶[tong3] bucket,(classifier) cubic dry measure (5 pecks 五斗 approx half-liter),,,,,,,,,,,,,,,,
甬,甬,yong3],path screened by walls on both sides,,,,,,,,,,,,,,,,,
甬江,甬江,Yong3 jiang1],the Yongjiang river through Ningbo 寧波|宁波[Ning2 bo1],,,,,,,,,,,,,,,,,
甬路,甬路,yong3 lu4],paved path,,,,,,,,,,,,,,,,,
甬道,甬道,yong3 dao4],walled-in path,paved pathway,canopied passageway,corridor,tunnel,,,,,,,,,,,,,
甭,甭,beng2],need not,(contraction of 不 and 用),,,,,,,,,,,,,,,,
甮,甮,beng2],old variant of 甭[beng2],need not,,,,,,,,,,,,,,,,
甯,宁,ning2],variant of 寧|宁[ning2],,,,,,,,,,,,,,,,,
田,田,Tian2],surname Tian,,,,,,,,,,,,,,,,,
