traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
傷心,伤心,shang1 xin1],to grieve,to be broken-hearted,to feel deeply hurt,,,,,,,,,,,,,,,
傷心慘目,伤心惨目,shang1 xin1 can3 mu4],(idiom) too appalling to look at,,,,,,,,,,,,,,,,,
傷心致死,伤心致死,shang1 xin1 zhi4 si3],to grieve to death,to die of a broken-heart,,,,,,,,,,,,,,,,
傷心蒿目,伤心蒿目,shang1 xin1 hao1 mu4],to grieve,broken-hearted,,,,,,,,,,,,,,,,
傷患,伤患,shang1 huan4],injured person,,,,,,,,,,,,,,,,,
傷悲,伤悲,shang1 bei1],sad,sorrowful (literary),,,,,,,,,,,,,,,,
傷悼,伤悼,shang1 dao4],to grieve for deceased relative,to mourn,,,,,,,,,,,,,,,,
傷感,伤感,shang1 gan3],sad,emotional,sentimental,pathos,,,,,,,,,,,,,,
傷懷,伤怀,shang1 huai2],grieved,full of sorrow,,,,,,,,,,,,,,,,
傷殘,伤残,shang1 can2],disabled,maimed,crippled,(of objects) damaged,,,,,,,,,,,,,,
傷殘人員,伤残人员,shang1 can2 ren2 yuan2],the injured,wounded personnel,,,,,,,,,,,,,,,,
傷疤,伤疤,shang1 ba1],scar,CL:道[dao4],,,,,,,,,,,,,,,,
傷病員,伤病员,shang1 bing4 yuan2],the sick and the wounded,,,,,,,,,,,,,,,,,
傷痕,伤痕,shang1 hen2],scar,bruise,,,,,,,,,,,,,,,,
傷痕累累,伤痕累累,shang1 hen2 lei3 lei3],bruised,riddled with scars,,,,,,,,,,,,,,,,
傷痛,伤痛,shang1 tong4],pain (from wound),sorrow,,,,,,,,,,,,,,,,
傷筋動骨,伤筋动骨,shang1 jin1 dong4 gu3],to suffer serious injury (idiom),,,,,,,,,,,,,,,,,
傷筋斷骨,伤筋断骨,shang1 jin1 duan4 gu3],to suffer serious injury (idiom),,,,,,,,,,,,,,,,,
傷者,伤者,shang1 zhe3],casualty,victim (of an accident),wounded person,,,,,,,,,,,,,,,
傷耗,伤耗,shang1 hao4],damage (e.g. to goods in transit),,,,,,,,,,,,,,,,,
傷腦筋,伤脑筋,shang1 nao3 jin1],to be a real headache,to find sth a real headache,to beat one's brains,,,,,,,,,,,,,,,
傷號,伤号,shang1 hao4],casualties,wounded soldiers,,,,,,,,,,,,,,,,
傷透,伤透,shang1 tou4],to break (sb's heart),to cause grief to,,,,,,,,,,,,,,,,
傷風,伤风,shang1 feng1],to catch cold,,,,,,,,,,,,,,,,,
傷風敗俗,伤风败俗,shang1 feng1 bai4 su2],offending public morals (idiom),,,,,,,,,,,,,,,,,
傺,傺,chi4],to detain,to hinder,,,,,,,,,,,,,,,,
傻,傻,sha3],foolish,,,,,,,,,,,,,,,,,
傻B,傻B,sha3 bi1],variant of 傻屄[sha3 bi1],,,,,,,,,,,,,,,,,
傻X,傻X,sha3 X],see 傻叉[sha3 cha1],,,,,,,,,,,,,,,,,
傻不愣登,傻不愣登,sha3 bu4 leng4 deng1],stupid,dazed,,,,,,,,,,,,,,,,
傻乎乎,傻乎乎,sha3 hu1 hu1],feeble-minded,dim-witted,,,,,,,,,,,,,,,,
傻人有傻福,傻人有傻福,sha3 ren2 you3 sha3 fu2],fortune favors fools (idiom),fool's luck,,,,,,,,,,,,,,,,
傻冒,傻冒,sha3 mao4],idiot,fool,foolish,,,,,,,,,,,,,,,
傻叉,傻叉,sha3 cha1],fool,blockhead,,,,,,,,,,,,,,,,
傻大個,傻大个,sha3 da4 ge4],idiot,blockhead,clod,oaf,,,,,,,,,,,,,,
傻大個兒,傻大个儿,sha3 da4 ge4 r5],stupid great hulk of a man,,,,,,,,,,,,,,,,,
傻子,傻子,sha3 zi5],idiot,fool,,,,,,,,,,,,,,,,
傻屄,傻屄,sha3 bi1],stupid cunt (vulgar),also written 傻逼[sha3 bi1],,,,,,,,,,,,,,,,
傻帽,傻帽,sha3 mao4],fool,idiot,foolish,stupid,,,,,,,,,,,,,,
傻帽兒,傻帽儿,sha3 mao4 r5],erhua variant of 傻帽[sha3 mao4],,,,,,,,,,,,,,,,,
傻氣,傻气,sha3 qi4],foolishness,nonsense,foolish,,,,,,,,,,,,,,,
傻瓜,傻瓜,sha3 gua1],idiot,fool,,,,,,,,,,,,,,,,
傻瓜相機,傻瓜相机,sha3 gua1 xiang4 ji1],point-and-shoot camera,compact camera,,,,,,,,,,,,,,,,
傻眼,傻眼,sha3 yan3],stunned,struck dumb,flabbergasted,,,,,,,,,,,,,,,
傻笑,傻笑,sha3 xiao4],to giggle,to laugh foolishly,to smirk,to simper,,,,,,,,,,,,,,
傻蛋,傻蛋,sha3 dan4],stupid young fellow,idiot,,,,,,,,,,,,,,,,
傻裡傻氣,傻里傻气,sha3 li5 sha3 qi4],foolish,stupid,,,,,,,,,,,,,,,,
傻話,傻话,sha3 hua4],foolish talk,nonsense,,,,,,,,,,,,,,,,
傻逼,傻逼,sha3 bi1],variant of 傻屄[sha3 bi1],,,,,,,,,,,,,,,,,
傻頭傻腦,傻头傻脑,sha3 tou2 sha3 nao3],a fool,,,,,,,,,,,,,,,,,
傾,倾,qing1],to overturn,to collapse,to lean,to tend,to incline,to pour out,,,,,,,,,,,,
傾佩,倾佩,qing1 pei4],to admire greatly,,,,,,,,,,,,,,,,,
傾倒,倾倒,qing1 dao3],to topple over,to greatly admire,,,,,,,,,,,,,,,,
傾倒,倾倒,qing1 dao4],to dump,to pour,to empty out,,,,,,,,,,,,,,,
傾側,倾侧,qing1 ce4],to lean to one side,slanting,,,,,,,,,,,,,,,,
傾動,倾动,qing1 dong4],to admire,,,,,,,,,,,,,,,,,
傾危,倾危,qing1 wei1],in danger of collapse,in a parlous state,(of person) treacherous,,,,,,,,,,,,,,,
傾卸,倾卸,qing1 xie4],to tip,to dump by tipping from a vehicle,,,,,,,,,,,,,,,,
傾吐,倾吐,qing1 tu3],to pour out (emotions),to unburden oneself (of strong feelings),to vomit comprehensively,,,,,,,,,,,,,,,
傾吐胸臆,倾吐胸臆,qing1 tu3 xiong1 yi4],to pour out one's heart,,,,,,,,,,,,,,,,,
傾吐衷腸,倾吐衷肠,qing1 tu3 zhong1 chang2],to pour out (emotions),to pour one's heart out,to say everything that is on one's mind,,,,,,,,,,,,,,,
傾向,倾向,qing1 xiang4],trend,tendency,orientation,,,,,,,,,,,,,,,
傾向性,倾向性,qing1 xiang4 xing4],tendency,inclination,orientation,,,,,,,,,,,,,,,
傾向於,倾向于,qing1 xiang4 yu2],to incline to,to prefer,to be prone to,,,,,,,,,,,,,,,
傾囊,倾囊,qing1 nang2],to empty one's pocket,to give everything to help sb,,,,,,,,,,,,,,,,
傾國傾城,倾国倾城,qing1 guo2 qing1 cheng2],lit. capable of causing the downfall of a city or state (idiom),fig. (of a woman) devastatingly beautiful,also written 傾城傾國|倾城倾国[qing1 cheng2 qing1 guo2],,,,,,,,,,,,,,,
傾城,倾城,qing1 cheng2],coming from everywhere,from all over the place,gorgeous (of woman),to ruin and overturn the state,,,,,,,,,,,,,,
傾城傾國,倾城倾国,qing1 cheng2 qing1 guo2],lit. capable of causing the downfall of a city or state (idiom),fig. (of a woman) devastatingly beautiful,,,,,,,,,,,,,,,,
傾家,倾家,qing1 jia1],to ruin a family,to lose a fortune,,,,,,,,,,,,,,,,
傾家蕩產,倾家荡产,qing1 jia1 dang4 chan3],to lose a family fortune (idiom),,,,,,,,,,,,,,,,,
傾巢,倾巢,qing1 chao2],lit. the whole nest came out (to fight us),a turnout in full force (of a gang of villains),,,,,,,,,,,,,,,,
傾巢來犯,倾巢来犯,qing1 chao2 lai2 fan4],to turn out in force ready to attack (idiom),,,,,,,,,,,,,,,,,
傾巢而出,倾巢而出,qing1 chao2 er2 chu1],the whole nest came out (idiom); to turn out in full strength,,,,,,,,,,,,,,,,,
傾心,倾心,qing1 xin1],to admire wholeheartedly,to fall in love with,,,,,,,,,,,,,,,,
傾心吐膽,倾心吐胆,qing1 xin1 tu3 dan3],to pour out one's heart (idiom),,,,,,,,,,,,,,,,,
傾慕,倾慕,qing1 mu4],to adore,to admire greatly,,,,,,,,,,,,,,,,
傾斜,倾斜,qing1 xie2],to incline,to lean,to slant,to slope,to tilt,,,,,,,,,,,,,
傾斜度,倾斜度,qing1 xie2 du4],inclination (from the horizontal or vertical),slope,obliquity,,,,,,,,,,,,,,,
傾服,倾服,qing1 fu2],to admire,,,,,,,,,,,,,,,,,
傾泄,倾泄,qing1 xie4],to cascade down,to flow in torrents,(fig.) outpouring (of emotions),,,,,,,,,,,,,,,
傾注,倾注,qing1 zhu4],to throw into,,,,,,,,,,,,,,,,,
傾瀉,倾泻,qing1 xie4],to pour down in torrents,,,,,,,,,,,,,,,,,
傾盆,倾盆,qing1 pen2],a downpour,rain bucketing down,,,,,,,,,,,,,,,,
傾盆大雨,倾盆大雨,qing1 pen2 da4 yu3],a downpour,rain bucketing down,fig. to be overwhelmed (with work or things to study),,,,,,,,,,,,,,,
傾盡,倾尽,qing1 jin4],to do all one can,to give all one has,,,,,,,,,,,,,,,,
傾箱倒篋,倾箱倒箧,qing1 xiang1 dao3 qie4],to exhaust all one has,to leave no stone unturned,to try one's best,,,,,,,,,,,,,,,
傾羨,倾羡,qing1 xian4],to admire,to adore,,,,,,,,,,,,,,,,
傾翻,倾翻,qing1 fan1],to overturn,to topple,to tip,,,,,,,,,,,,,,,
傾耳,倾耳,qing1 er3],to prick up one's ear,to listen attentively,,,,,,,,,,,,,,,,
傾耳細聽,倾耳细听,qing1 er3 xi4 ting1],to prick up one's ear and listen carefully,,,,,,,,,,,,,,,,,
傾耳而聽,倾耳而听,qing1 er3 er2 ting1],to listen attentively,,,,,,,,,,,,,,,,,
傾聽,倾听,qing1 ting1],to listen attentively,,,,,,,,,,,,,,,,,
傾聽者,倾听者,qing1 ting1 zhe3],listener,,,,,,,,,,,,,,,,,
傾蓋,倾盖,qing1 gai4],to meet in passing,to get on well at first meeting,,,,,,,,,,,,,,,,
傾覆,倾覆,qing1 fu4],to capsize,to collapse,to overturn,to overthrow,to undermine,,,,,,,,,,,,,
傾角,倾角,qing1 jiao3],dip,angle of dip (inclination of a geological plane down from horizontal),tilt (inclination of ship from vertical),,,,,,,,,,,,,,,
傾訴,倾诉,qing1 su4],to say everything (that is on one's mind),,,,,,,,,,,,,,,,,
傾談,倾谈,qing1 tan2],to have a good talk,,,,,,,,,,,,,,,,,
傾軋,倾轧,qing1 ya4],conflict,internal strife,dissension,,,,,,,,,,,,,,,
