反水,反水,fan3 shui3],turncoat,traitor,,,,,,,,,,,,,,,,
反求諸己,反求诸己,fan3 qiu2 zhu1 ji3],to seek the cause in oneself rather than sb else,,,,,,,,,,,,,,,,,
反污,反污,fan3 wu1],to accuse the victim (while being the guilty party),,,,,,,,,,,,,,,,,
反派,反派,fan3 pai4],villain (of a drama etc),,,,,,,,,,,,,,,,,
反清,反清,fan3 Qing1],anti-Qing,refers to the revolutionary movements in late 19th and early 20th century leading up to 1911 Xinhai Revolution 辛亥革命[Xin1 hai4 Ge2 ming4],,,,,,,,,,,,,,,,
反演,反演,fan3 yan3],inversion (geometry),,,,,,,,,,,,,,,,,
反潛,反潜,fan3 qian2],anti-submarine,antisubmarine,,,,,,,,,,,,,,,,
反照,反照,fan3 zhao4],reflection,,,,,,,,,,,,,,,,,
反照率,反照率,fan3 zhao4 lu:4],reflectivity,albedo,,,,,,,,,,,,,,,,
反物質,反物质,fan3 wu4 zhi4],antimatter,,,,,,,,,,,,,,,,,
反特,反特,fan3 te4],to thwart enemy espionage,to engage in counterespionage,,,,,,,,,,,,,,,,
反猶太主義,反犹太主义,fan3 You2 tai4 zhu3 yi4],antisemitism,,,,,,,,,,,,,,,,,
反生物戰,反生物战,fan3 sheng1 wu4 zhan4],biological (warfare) defense,,,,,,,,,,,,,,,,,
反用換流器,反用换流器,fan3 yong4 huan4 liu2 qi4],inverter device that converts AC electricity to DC and vice versa,,,,,,,,,,,,,,,,,
反白,反白,fan3 bai2],reverse type (white on black),reversed-out (graphics),highlighting (of selected text on a computer screen),,,,,,,,,,,,,,,
反目,反目,fan3 mu4],to quarrel,to fall out with sb,,,,,,,,,,,,,,,,
反目成仇,反目成仇,fan3 mu4 cheng2 chou2],to become enemies (idiom); to fall out with sb,,,,,,,,,,,,,,,,,
反省,反省,fan3 xing3],to reflect upon oneself,to examine one's conscience,to question oneself,to search one's soul,,,,,,,,,,,,,,
反知識,反知识,fan3 zhi1 shi5],anti-intellectual,,,,,,,,,,,,,,,,,
反社會,反社会,fan3 she4 hui4],antisocial (behavior),,,,,,,,,,,,,,,,,
反社會行為,反社会行为,fan3 she4 hui4 xing2 wei2],antisocial behavior,,,,,,,,,,,,,,,,,
反科學,反科学,fan3 ke1 xue2],anti-science,anti-scientific,,,,,,,,,,,,,,,,
反空降,反空降,fan3 kong1 jiang4],anti-aircraft defense,,,,,,,,,,,,,,,,,
反粒子,反粒子,fan3 li4 zi3],antiparticle (physics),,,,,,,,,,,,,,,,,
反美,反美,fan3 Mei3],anti-American,,,,,,,,,,,,,,,,,
反義,反义,fan3 yi4],antonymous,(genetic) antisense,,,,,,,,,,,,,,,,
反義字,反义字,fan3 yi4 zi4],character with opposite meaning,antonym,opposite characters,,,,,,,,,,,,,,,
反義詞,反义词,fan3 yi4 ci2],antonym,,,,,,,,,,,,,,,,,
反而,反而,fan3 er2],instead,on the contrary,contrary (to expectations),,,,,,,,,,,,,,,
反聖嬰,反圣婴,Fan3 sheng4 ying1],La Niña (counterpart of El Niño in meteorology),,,,,,,,,,,,,,,,,
