traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
選修課,选修课,xuan3 xiu1 ke4],optional course (in school),,,,,,,,,,,,,,,,,
選入,选入,xuan3 ru4],selected (for admission),elected,,,,,,,,,,,,,,,,
選出,选出,xuan3 chu1],to pick out,to select,to elect,,,,,,,,,,,,,,,
選區,选区,xuan3 qu1],electoral district,constituency,,,,,,,,,,,,,,,,
選取,选取,xuan3 qu3],to choose,,,,,,,,,,,,,,,,,
選召,选召,xuan3 zhao4],chosen and called,,,,,,,,,,,,,,,,,
選單,选单,xuan3 dan1],(software) menu,,,,,,,,,,,,,,,,,
選址,选址,xuan3 zhi3],to select a suitable site,site,location,,,,,,,,,,,,,,,
選士,选士,xuan3 shi4],selected outstanding scholars (in former times),cream of the crop,,,,,,,,,,,,,,,,
選定,选定,xuan3 ding4],to select,to choose,to settle on,,,,,,,,,,,,,,,
選情,选情,xuan3 qing2],the state of play in an election,the current state of a candidate's campaign,,,,,,,,,,,,,,,,
選戰,选战,xuan3 zhan4],an election campaign,,,,,,,,,,,,,,,,,
選手,选手,xuan3 shou3],athlete,contestant,,,,,,,,,,,,,,,,
選拔,选拔,xuan3 ba2],to select the best,,,,,,,,,,,,,,,,,
選擇,选择,xuan3 ze2],to select,to pick,choice,option,alternative,,,,,,,,,,,,,
選擇性,选择性,xuan3 ze2 xing4],selective,selectiveness,selectivity,,,,,,,,,,,,,,,
選擇題,选择题,xuan3 ze2 ti2],multiple-choice question,,,,,,,,,,,,,,,,,
選本,选本,xuan3 ben3],anthology,selected works,,,,,,,,,,,,,,,,
選民,选民,xuan3 min2],voter,constituency,electorate,,,,,,,,,,,,,,,
選民參加率,选民参加率,xuan3 min2 can1 jia1 lu:4],voter participation rate,,,,,,,,,,,,,,,,,
選民登記,选民登记,xuan3 min2 deng1 ji4],voter registration,,,,,,,,,,,,,,,,,
選派,选派,xuan3 pai4],to select,to detail,to set apart,to appoint,,,,,,,,,,,,,,
選用,选用,xuan3 yong4],to choose for some purpose,to select and use,,,,,,,,,,,,,,,,
選票,选票,xuan3 piao4],a vote,ballot,CL:張|张[zhang1],,,,,,,,,,,,,,,
選秀,选秀,xuan3 xiu4],draft (sports),,,,,,,,,,,,,,,,,
選秀節目,选秀节目,xuan3 xiu4 jie2 mu4],talent show,talent competition,,,,,,,,,,,,,,,,
選編,选编,xuan3 bian1],selected works (poems documents etc),anthology,,,,,,,,,,,,,,,,
選美,选美,xuan3 mei3],beauty contest,,,,,,,,,,,,,,,,,
選美比賽,选美比赛,xuan3 mei3 bi3 sai4],beauty contest,,,,,,,,,,,,,,,,,
選美皇后,选美皇后,xuan3 mei3 huang2 hou4],beauty queen,,,,,,,,,,,,,,,,,
選聽,选听,xuan3 ting1],selective listening (linguistics),,,,,,,,,,,,,,,,,
選育,选育,xuan3 yu4],seed selection,breeding,,,,,,,,,,,,,,,,
選舉,选举,xuan3 ju3],to elect,election,CL:次[ci4]個|个[ge4],,,,,,,,,,,,,,,
選舉人,选举人,xuan3 ju3 ren2],voter,elector,,,,,,,,,,,,,,,,
選舉人團,选举人团,Xuan3 ju3 ren2 tuan2],Electoral College (of the United States),,,,,,,,,,,,,,,,,
選舉團,选举团,Xuan3 ju3 tuan2],Electoral College (of the United States),,,,,,,,,,,,,,,,,
選舉委員會,选举委员会,Xuan3 ju3 Wei3 yuan2 hui4],Election Committee (Hong Kong),,,,,,,,,,,,,,,,,
選舉權,选举权,xuan3 ju3 quan2],suffrage,,,,,,,,,,,,,,,,,
選舉法庭,选举法庭,xuan3 ju3 fa3 ting2],election court,,,,,,,,,,,,,,,,,
選裝,选装,xuan3 zhuang1],optional (equipment),,,,,,,,,,,,,,,,,
選課,选课,xuan3 ke4],to select courses,,,,,,,,,,,,,,,,,
選購,选购,xuan3 gou4],to select and purchase,to buy,,,,,,,,,,,,,,,,
選送,选送,xuan3 song4],to select and send over,,,,,,,,,,,,,,,,,
選錄,选录,xuan3 lu4],an excerpt,a digest,,,,,,,,,,,,,,,,
選集,选集,xuan3 ji2],anthology,,,,,,,,,,,,,,,,,
選項,选项,xuan3 xiang4],to make a choice (between several alternatives),a choice,an option,an alternative,,,,,,,,,,,,,,
遹,遹,Yu4],surname Yu,,,,,,,,,,,,,,,,,
遹,遹,yu4],follow,in accordance with,,,,,,,,,,,,,,,,
遺,遗,yi2],to lose,to leave behind,to omit,to bequeath,sth lost,involuntary discharge (of urine etc),,,,,,,,,,,,
遺作,遗作,yi2 zuo4],posthumous work,,,,,,,,,,,,,,,,,
遺傳,遗传,yi2 chuan2],heredity,inheritance,to transmit,,,,,,,,,,,,,,,
遺傳信息,遗传信息,yi2 chuan2 xin4 xi1],genetic information,heredity,,,,,,,,,,,,,,,,
遺傳學,遗传学,yi2 chuan2 xue2],genetics,,,,,,,,,,,,,,,,,
遺傳工程,遗传工程,yi2 chuan2 gong1 cheng2],genetic engineering,,,,,,,,,,,,,,,,,
遺傳性,遗传性,yi2 chuan2 xing4],hereditary,inherited,genetic,,,,,,,,,,,,,,,
遺傳性疾病,遗传性疾病,yi2 chuan2 xing4 ji2 bing4],genetic disorder,,,,,,,,,,,,,,,,,
遺傳物質,遗传物质,yi2 chuan2 wu4 zhi4],genetic material,,,,,,,,,,,,,,,,,
遺傳率,遗传率,yi2 chuan2 lu:4],heritability,,,,,,,,,,,,,,,,,
遺像,遗像,yi2 xiang4],portrait of the deceased,,,,,,,,,,,,,,,,,
遺囑,遗嘱,yi2 zhu3],testament,will,,,,,,,,,,,,,,,,
遺址,遗址,yi2 zhi3],ruins,historic relics,,,,,,,,,,,,,,,,
遺墨,遗墨,yi2 mo4],posthumous (painting calligraphy prose etc),,,,,,,,,,,,,,,,,
遺失,遗失,yi2 shi1],to lose,lost,,,,,,,,,,,,,,,,
遺妻,遗妻,yi2 qi1],widow,the deceased's widow,,,,,,,,,,,,,,,,
遺妻棄子,遗妻弃子,yi2 qi1 qi4 zi3],to abandon wife and children,,,,,,,,,,,,,,,,,
遺孀,遗孀,yi2 shuang1],widow,,,,,,,,,,,,,,,,,
遺孤,遗孤,yi2 gu1],orphan,,,,,,,,,,,,,,,,,
遺害無窮,遗害无穷,yi2 hai4 wu2 qiong2],to have disastrous consequences,also written 貽害無窮|贻害无穷[yi2 hai4 wu2 qiong2],,,,,,,,,,,,,,,,
遺容,遗容,yi2 rong2],body of the deceased (esp. in the context of paying one's respects),picture of the deceased,,,,,,,,,,,,,,,,
遺尿,遗尿,yi2 niao4],bed-wetting,,,,,,,,,,,,,,,,,
遺志,遗志,yi2 zhi4],the mission in life of a deceased person left to others to carry on,,,,,,,,,,,,,,,,,
遺忘,遗忘,yi2 wang4],to become forgotten,to forget,,,,,,,,,,,,,,,,
遺忘症,遗忘症,yi2 wang4 zheng4],amnesia,,,,,,,,,,,,,,,,,
遺恨,遗恨,yi2 hen4],eternal regret,,,,,,,,,,,,,,,,,
遺憾,遗憾,yi2 han4],regret,to regret,to be sorry that,,,,,,,,,,,,,,,
遺教,遗教,yi2 jiao4],work or plans left as a legacy,the views of the departed,posthumous orders or teachings,,,,,,,,,,,,,,,
遺族,遗族,yi2 zu2],the bereaved,family of the deceased,,,,,,,,,,,,,,,,
遺書,遗书,yi2 shu1],posthumous writing,testament,suicide note,ancient literature,,,,,,,,,,,,,,
遺案,遗案,yi2 an4],unsolved case (law),,,,,,,,,,,,,,,,,
遺棄,遗弃,yi2 qi4],to leave,to abandon,,,,,,,,,,,,,,,,
遺漏,遗漏,yi2 lou4],to overlook,to miss,to omit,,,,,,,,,,,,,,,
遺照,遗照,yi2 zhao4],picture of the deceased,,,,,,,,,,,,,,,,,
遺物,遗物,yi2 wu4],remnant,,,,,,,,,,,,,,,,,
遺珠,遗珠,yi2 zhu1],unrecognized talent,,,,,,,,,,,,,,,,,
遺產,遗产,yi2 chan3],heritage,legacy,inheritance,bequest,CL:筆|笔[bi3],,,,,,,,,,,,,
遺產稅,遗产税,yi2 chan3 shui4],inheritance tax,estate tax,,,,,,,,,,,,,,,,
遺男,遗男,yi2 nan2],orphan,posthumous son,,,,,,,,,,,,,,,,
遺留,遗留,yi2 liu2],to leave behind,to hand down,,,,,,,,,,,,,,,,
遺稿,遗稿,yi2 gao3],surviving manuscript,bequeathed draft (of book),,,,,,,,,,,,,,,,
遺精,遗精,yi2 jing1],nocturnal emission,wet dream,,,,,,,,,,,,,,,,
遺缺,遗缺,yi2 que1],vacancy,,,,,,,,,,,,,,,,,
遺老,遗老,yi2 lao3],old fogy,adherent of previous dynasty,,,,,,,,,,,,,,,,
遺腹子,遗腹子,yi2 fu4 zi3],posthumous child,,,,,,,,,,,,,,,,,
遺臭萬年,遗臭万年,yi2 chou4 wan4 nian2],to have one's name go down in history as a byword for infamy (idiom),,,,,,,,,,,,,,,,,
遺落,遗落,yi2 luo4],to leave behind (inadvertently),to forget,to omit,to leave out,,,,,,,,,,,,,,
遺著,遗著,yi2 zhu4],posthumous work (of a writer),,,,,,,,,,,,,,,,,
遺蛻,遗蜕,yi2 tui4],to shed skin,to leave one's mortal envelope,remains (of a priest),,,,,,,,,,,,,,,
遺言,遗言,yi2 yan2],words of the deceased,last words of the dying,wisdom of past sages,,,,,,,,,,,,,,,
遺訓,遗训,yi2 xun4],wishes of the deceased,,,,,,,,,,,,,,,,,
遺詔,遗诏,yi2 zhao4],posthumous edict (of former emperor),,,,,,,,,,,,,,,,,
遺贈,遗赠,yi2 zeng4],to bequeath,,,,,,,,,,,,,,,,,
遺跡,遗迹,yi2 ji4],trace,vestige,historical remains,remnant,,,,,,,,,,,,,,
遺願,遗愿,yi2 yuan4],final wishes of the departed,,,,,,,,,,,,,,,,,
遺風,遗风,yi2 feng1],tradition or style from the past,old ways,surviving tradition,relic,,,,,,,,,,,,,,
遺骨,遗骨,yi2 gu3],(dead) human remains,,,,,,,,,,,,,,,,,
遺骸,遗骸,yi2 hai2],(dead) human remains,,,,,,,,,,,,,,,,,
遺體,遗体,yi2 ti3],remains (of a dead person),,,,,,,,,,,,,,,,,
遺體告別式,遗体告别式,yi2 ti3 gao4 bie2 shi4],funeral,,,,,,,,,,,,,,,,,
遺鷗,遗鸥,yi2 ou1],(bird species of China) relict gull (Ichthyaetus relictus),,,,,,,,,,,,,,,,,
遻,遻,wu4],recalcitrant,to encounter,,,,,,,,,,,,,,,,
遼,辽,Liao2],short name for Liaoning 遼寧|辽宁[Liao2 ning2] province,Liao or Khitan dynasty (907-1125),,,,,,,,,,,,,,,,
遼中,辽中,Liao2 zhong1],Liaozhong county in Shenyang 沈陽|沈阳 Liaoning,,,,,,,,,,,,,,,,,
遼中縣,辽中县,Liao2 zhong1 xian4],Liaozhong county in Shenyang 沈陽|沈阳 Liaoning,,,,,,,,,,,,,,,,,
遼史,辽史,Liao2 shi3],History of the Liao Dynasty twenty first of the 24 dynastic histories 二十四史[Er4 shi2 si4 Shi3] composed under Toktoghan 脫脫|脱脱[Tuo1 tuo1] in 1345 during the Yuan Dynasty 元[Yuan2] 116 scrolls,,,,,,,,,,,,,,,,,
遼寧,辽宁,Liao2 ning2],Liaoning province in northeast China short name 遼|辽[Liao2] capital Shenyang 瀋陽|沈阳[Shen3 yang2],,,,,,,,,,,,,,,,,
遼寧古盜鳥,辽宁古盗鸟,Liao2 ning2 gu3 dao4 niao3],Archaeoraptor liaoningensis (bird-like dinosaur found in Liaoning province),,,,,,,,,,,,,,,,,
遼寧大學,辽宁大学,Liao2 ning2 Da4 xue2],Liaoning University,,,,,,,,,,,,,,,,,
遼寧省,辽宁省,Liao2 ning2 sheng3],Liaoning province in northeast China short name 遼|辽[Liao2] capital Shenyang 瀋陽|沈阳[Shen3 yang2],,,,,,,,,,,,,,,,,
遼寧號,辽宁号,Liao2 ning2 Hao4],Liaoning the first aircraft carrier commissioned into the PLA Navy (commissioned in 2012),,,,,,,,,,,,,,,,,
遼東,辽东,Liao2 dong1],Liaodong peninsula between Bohai 渤海 and Yellow sea,east and south of Liaoning province,east of Liao river 遼河|辽河,,,,,,,,,,,,,,,
遼東半島,辽东半岛,Liao2 dong1 Ban4 dao3],Liaodong Peninsula,,,,,,,,,,,,,,,,,
遼河,辽河,Liao2 He2],Liao River of northeast China passing through Inner Mongolia Hebei Jilin and Liaoning,,,,,,,,,,,,,,,,,
遼海,辽海,Liao2 hai3],east and south of Liaoning province,,,,,,,,,,,,,,,,,
遼源,辽源,Liao2 yuan2],Liaoyuan prefecture level city in Jilin province 吉林省 in northeast China,,,,,,,,,,,,,,,,,
遼源市,辽源市,Liao2 yuan2 shi4],Liaoyuan prefecture level city in Jilin province 吉林省 in northeast China,,,,,,,,,,,,,,,,,
遼瀋戰役,辽沈战役,Liao2 shen3 Zhan4 yi4],Liaoshen Campaign (Sep-Nov 1948) the first of the three major campaigns by the People's Liberation Army near the end of the Chinese Civil War,,,,,,,,,,,,,,,,,
遼西,辽西,liao2 xi1],west of Liaoning,,,,,,,,,,,,,,,,,
遼遠,辽远,liao2 yuan3],distant,far away,remote,,,,,,,,,,,,,,,
遼金,辽金,Liao2 Jin1],Liao and Jin dynasties namely: Liao or Khitan dynasty (907-1125) and Jurchen Jin dynasty (1115-1234),,,,,,,,,,,,,,,,,
遼闊,辽阔,liao2 kuo4],vast,extensive,,,,,,,,,,,,,,,,
遼陽,辽阳,Liao2 yang2],Liaoyang prefecture level city in Liaoning province 遼寧省|辽宁省 in northeast China,,,,,,,,,,,,,,,,,
遼陽市,辽阳市,Liao2 yang2 shi4],Liaoyang prefecture level city in Liaoning province 遼寧省|辽宁省 in northeast China,,,,,,,,,,,,,,,,,
遼陽縣,辽阳县,Liao2 yang2 xian4],Liaoyang county in Liaoyang 遼陽|辽阳[Liao2 yang2] Liaoning,,,,,,,,,,,,,,,,,
遽,遽,ju4],hurry,fast,suddenly,,,,,,,,,,,,,,,
遽然,遽然,ju4 ran2],(literary) all of a sudden,,,,,,,,,,,,,,,,,
避,避,bi4],to avoid,to shun,to flee,to escape,to keep away from,to leave,to hide from,,,,,,,,,,,
避不見面,避不见面,bi4 bu4 jian4 mian4],to refuse to meet sb,to avoid sb,,,,,,,,,,,,,,,,
避世,避世,bi4 shi4],to shun the world,,,,,,,,,,,,,,,,,
避世絕俗,避世绝俗,bi4 shi4 jue2 su2],to withdraw from society and live like a hermit (idiom),,,,,,,,,,,,,,,,,
避免,避免,bi4 mian3],to avert,to prevent,to avoid,to refrain from,,,,,,,,,,,,,,
避其銳氣，擊其惰歸,避其锐气，击其惰归,bi4 qi2 rui4 qi4 ji1 qi2 duo4 gui1],avoid the enemy when he is fresh and strike him when he is tired and withdraws (idiom),,,,,,,,,,,,,,,,,
避坑落井,避坑落井,bi4 keng1 luo4 jing3],to dodge a pit only to fall into a well (idiom),out of the frying pan into the fire,,,,,,,,,,,,,,,,
避嫌,避嫌,bi4 xian2],to avoid arousing suspicion,,,,,,,,,,,,,,,,,
避孕,避孕,bi4 yun4],contraception,,,,,,,,,,,,,,,,,
避孕丸,避孕丸,bi4 yun4 wan2],contraceptive pill,,,,,,,,,,,,,,,,,
避孕套,避孕套,bi4 yun4 tao4],condom,CL:隻|只[zhi1],,,,,,,,,,,,,,,,
避孕環,避孕环,bi4 yun4 huan2],coil,contraceptive coil,intrauterine device,,,,,,,,,,,,,,,
避孕藥,避孕药,bi4 yun4 yao4],oral contraceptive,,,,,,,,,,,,,,,,,
避寒,避寒,bi4 han2],to escape the cold by going on a winter holiday,,,,,,,,,,,,,,,,,
避實就虛,避实就虚,bi4 shi2 jiu4 xu1],stay clear of the enemy's main force and,strike at his weak points,,,,,,,,,,,,,,,,
避彈坑,避弹坑,bi4 dan4 keng1],foxhole,,,,,,,,,,,,,,,,,
避役,避役,bi4 yi4],chameleon,,,,,,,,,,,,,,,,,
避忌,避忌,bi4 ji4],to avoid as taboo,,,,,,,,,,,,,,,,,
避惡,避恶,bi4 e4],to avoid evil,,,,,,,,,,,,,,,,,
避暑,避暑,bi4 shu3],to be away for the summer holidays,to spend a holiday at a summer resort,to prevent sunstroke,,,,,,,,,,,,,,,
避暑山莊,避暑山庄,bi4 shu3 shan1 zhuang1],mountain resort,Qing imperial summer residence at Chengde a world heritage site,,,,,,,,,,,,,,,,
避稅,避税,bi4 shui4],tax avoidance,tax evasion,,,,,,,,,,,,,,,,
避稅港,避税港,bi4 shui4 gang3],tax haven,,,,,,,,,,,,,,,,,
避署,避署,bi4 shu3],to go on summer vacation,,,,,,,,,,,,,,,,,
避蚊胺,避蚊胺,bi4 wen2 an4],DEET (insect repellent),,,,,,,,,,,,,,,,,
避諱,避讳,bi4 hui4],to avoid a taboo word or topic,,,,,,,,,,,,,,,,,
避諱,避讳,bi4 hui5],to avoid a taboo word or topic,to refrain from,to avoid,,,,,,,,,,,,,,,
避讓,避让,bi4 rang4],to avoid,to yield (in traffic),to get out of the way,,,,,,,,,,,,,,,
避避風頭,避避风头,bi4 bi4 feng1 tou2],to lie low until the fuss dies down,,,,,,,,,,,,,,,,,
避邪,避邪,bi4 xie2],to avoid evil spirits,,,,,,,,,,,,,,,,,
避重就輕,避重就轻,bi4 zhong4 jiu4 qing1],to avoid the important and dwell on the trivial,to keep silent about major charges while admitting minor ones,,,,,,,,,,,,,,,,
避開,避开,bi4 kai1],to avoid,to evade,to keep away from,,,,,,,,,,,,,,,
避險,避险,bi4 xian3],to flee from danger,to avoid danger,to minimize risk,(finance) hedge,,,,,,,,,,,,,,
避難,避难,bi4 nan4],refuge,to take refuge,to seek asylum (political etc),,,,,,,,,,,,,,,
避難所,避难所,bi4 nan4 suo3],refuge,asylum,,,,,,,,,,,,,,,,
避雷器,避雷器,bi4 lei2 qi4],lightning arrester,,,,,,,,,,,,,,,,,
避雷針,避雷针,bi4 lei2 zhen1],lightning rod,,,,,,,,,,,,,,,,,
避震鞋,避震鞋,bi4 zhen4 xie2],cushioning shoes (Tw),,,,,,,,,,,,,,,,,
避風,避风,bi4 feng1],to take shelter from the wind,to lie low,to stay out of trouble,,,,,,,,,,,,,,,
避風港,避风港,bi4 feng1 gang3],haven,refuge,harbor,CL:座[zuo4]個|个[ge4],,,,,,,,,,,,,,
避風處,避风处,bi4 feng1 chu4],lee,windstop,,,,,,,,,,,,,,,,
邀,邀,yao1],to invite,to request,to intercept,to solicit,to seek,,,,,,,,,,,,,
邀功,邀功,yao1 gong1],to take the credit for sb's achievement,,,,,,,,,,,,,,,,,
邀擊,邀击,yao1 ji1],to intercept,to waylay,to ambush,,,,,,,,,,,,,,,
邀約,邀约,yao1 yue1],to invite,to make an appointment,,,,,,,,,,,,,,,,
邀請,邀请,yao1 qing3],to invite,invitation,CL:個|个[ge4],,,,,,,,,,,,,,,
邀請函,邀请函,yao1 qing3 han2],invitation letter,CL:封[feng1],,,,,,,,,,,,,,,,
邀請賽,邀请赛,yao1 qing3 sai4],invitation tournament (e.g. between schools or firms),,,,,,,,,,,,,,,,,
邀買人心,邀买人心,yao1 mai3 ren2 xin1],to buy popular support,to court favor,,,,,,,,,,,,,,,,
邁,迈,mai4],to take a step,to stride,,,,,,,,,,,,,,,,
邁克爾,迈克尔,Mai4 ke4 er3],Michael (name),,,,,,,,,,,,,,,,,
邁克爾·傑克遜,迈克尔·杰克逊,Mai4 ke4 er3 · Jie2 ke4 xun4],Michael Jackson (1958-2009) American musician and entertainer,,,,,,,,,,,,,,,,,
邁克爾·克萊頓,迈克尔·克莱顿,Mai4 ke4 er3 · Ke4 lai2 dun4],Michael Crichton (1942-) US techno-thriller writer author of Jurassic Park,,,,,,,,,,,,,,,,,
邁克爾·喬丹,迈克尔·乔丹,Mai4 ke4 er3 · Qiao2 dan1],Michael Jordan (1963-) US basketball player,,,,,,,,,,,,,,,,,
邁凱伊,迈凯伊,Mai4 kai3 yi1],McKay or Mackay (name),,,,,,,,,,,,,,,,,
邁凱輪,迈凯轮,Mai4 kai3 lun2],McLaren,MacLaren,,,,,,,,,,,,,,,,
邁出,迈出,mai4 chu1],to step out,to take a (first) step,,,,,,,,,,,,,,,,
邁向,迈向,mai4 xiang4],to stride toward (success),to march toward,to take a step toward,,,,,,,,,,,,,,,
邁巴赫,迈巴赫,Mai4 ba1 he4],Maybach German car brand,,,,,,,,,,,,,,,,,
邁杜古裡,迈杜古里,Mai4 du4 gu3 li3],Maiduguri city in north Nigeria,,,,,,,,,,,,,,,,,
邁赫迪,迈赫迪,Mai4 he4 di2],Mahdi or Mehdi (Arabic: Guided one) redeemer of some Islamic prophesy,,,,,,,,,,,,,,,,,
邁赫迪軍,迈赫迪军,Mai4 he4 di2 jun1],Mahdi army Iraqi Shia armed militia led by Moqtada Sadr,,,,,,,,,,,,,,,,,
邁進,迈进,mai4 jin4],to step in,to stride forward,to forge ahead,,,,,,,,,,,,,,,
邁阿密,迈阿密,Mai4 a1 mi4],Miami (Florida),,,,,,,,,,,,,,,,,
邂,邂,xie4],to meet unexpectedly,,,,,,,,,,,,,,,,,
邂逅,邂逅,xie4 hou4],to meet by chance,to run into sb,chance encounter,,,,,,,,,,,,,,,
邃,邃,sui4],deep,distant,mysterious,,,,,,,,,,,,,,,
邃古,邃古,sui4 gu3],remote antiquity,,,,,,,,,,,,,,,,,
邃宇,邃宇,sui4 yu3],large house that is dark and labyrinthine,,,,,,,,,,,,,,,,,
邃密,邃密,sui4 mi4],deep,profound,abstruse and full (of thought),,,,,,,,,,,,,,,
邃戶,邃户,sui4 hu4],forbidding entrance to a large quiet house,,,,,,,,,,,,,,,,,
還,还,Huan2],surname Huan,,,,,,,,,,,,,,,,,
還,还,hai2],still,still in progress,still more,yet,even more,in addition,fairly,passably (good),as early as,even,also,else,,,,,,
還,还,huan2],to pay back,to return,,,,,,,,,,,,,,,,
還不如,还不如,hai2 bu4 ru2],to be better off ...,might as well ...,,,,,,,,,,,,,,,,
還俗,还俗,huan2 su2],to return to normal life (leaving a monastic order),,,,,,,,,,,,,,,,,
還債,还债,huan2 zhai4],to settle a debt,,,,,,,,,,,,,,,,,
還價,还价,huan2 jia4],to make a counteroffer when haggling,to bargain,,,,,,,,,,,,,,,,
還原,还原,huan2 yuan2],to restore to the original state,to reconstruct (an event),reduction (chemistry),,,,,,,,,,,,,,,
還原劑,还原剂,huan2 yuan2 ji4],reducing agent,,,,,,,,,,,,,,,,,
還原真相,还原真相,huan2 yuan2 zhen1 xiang4],to set the record straight,to clarify the facts,,,,,,,,,,,,,,,,
還口,还口,huan2 kou3],to retort,to answer back,,,,,,,,,,,,,,,,
還嘴,还嘴,huan2 zui3],to retort,to answer back,,,,,,,,,,,,,,,,
還好,还好,hai2 hao3],not bad,tolerable,fortunately,,,,,,,,,,,,,,,
還席,还席,huan2 xi2],to offer a return banquet,,,,,,,,,,,,,,,,,
還手,还手,huan2 shou3],to hit back,to retaliate,,,,,,,,,,,,,,,,
還擊,还击,huan2 ji1],to hit back,to return fire,,,,,,,,,,,,,,,,
還是,还是,hai2 shi5],or,still,nevertheless,had better,,,,,,,,,,,,,,
還書,还书,huan2 shu1],return books,,,,,,,,,,,,,,,,,
還有,还有,hai2 you3],furthermore,in addition,still,also,,,,,,,,,,,,,,
還本,还本,huan2 ben3],to repay capital,,,,,,,,,,,,,,,,,
還款,还款,huan2 kuan3],repayment,to pay back money,,,,,,,,,,,,,,,,
還清,还清,huan2 qing1],to pay back in full,to redeem a debt,,,,,,,,,,,,,,,,
還禮,还礼,huan2 li3],to return a politeness,to present a gift in return,,,,,,,,,,,,,,,,
還給,还给,huan2 gei3],to return sth to sb,,,,,,,,,,,,,,,,,
還貸,还贷,huan2 dai4],to repay a loan,,,,,,,,,,,,,,,,,
還賬,还账,huan2 zhang4],to settle and account,,,,,,,,,,,,,,,,,
還鄉,还乡,huan2 xiang1],to return home,fig. to retire from public life,,,,,,,,,,,,,,,,
還鄉女,还乡女,huan2 xiang1 nu:3],(Korean term) women who returned to Korea after being abducted during the Manchu invasions of Korea in the 17th century only to be regarded as defiled and therefore ostracized even by their own families,,,,,,,,,,,,,,,,,
還願,还愿,huan2 yuan4],to redeem a vow (to a deity),to fulfil a promise,votive,,,,,,,,,,,,,,,
還魂,还魂,huan2 hun2],to return from the grave,(old) to recycle (waste products),,,,,,,,,,,,,,,,
還魂紙,还魂纸,huan2 hun2 zhi3],recycled paper,,,,,,,,,,,,,,,,,
邅,邅,zhan1],not making progress,,,,,,,,,,,,,,,,,
邆,邆,teng2],(used in place names),,,,,,,,,,,,,,,,,
邇,迩,er3],recently,near,close,,,,,,,,,,,,,,,
邇來,迩来,er3 lai2],recently,until now,up to the present,lately,also written 爾來|尔来,,,,,,,,,,,,,
邈,邈,miao3],profound,remote,,,,,,,,,,,,,,,,
邈冥冥,邈冥冥,miao3 ming2 ming2],far off,distant,,,,,,,,,,,,,,,,
邈然,邈然,miao3 ran2],distant,remote,,,,,,,,,,,,,,,,
邈遠,邈远,miao3 yuan3],see 渺遠|渺远[miao3 yuan3],,,,,,,,,,,,,,,,,
邈邈,邈邈,miao3 miao3],far away,remote,,,,,,,,,,,,,,,,
邉,邉,bian1],old variant of 邊|边[bian1],,,,,,,,,,,,,,,,,
邊,边,bian1],side,edge,margin,border,boundary,CL:個|个[ge4],simultaneously,,,,,,,,,,,
邊,边,bian5],suffix of a noun of locality,,,,,,,,,,,,,,,,,
邊兒,边儿,bian1 r5],side,edge,margin,border,boundary,proximity,thread (of ideas plots etc),see also 邊|边[bian1],,,,,,,,,,
邊區,边区,bian1 qu1],border area,,,,,,,,,,,,,,,,,
邊卡,边卡,bian1 qia3],border checkpoint,,,,,,,,,,,,,,,,,
邊地,边地,bian1 di4],border district,borderland,,,,,,,,,,,,,,,,
邊城,边城,bian1 cheng2],border town,remote town,,,,,,,,,,,,,,,,
邊塞,边塞,bian1 sai4],frontier fortress,,,,,,,,,,,,,,,,,
邊境,边境,bian1 jing4],frontier,border,,,,,,,,,,,,,,,,
邊境地區,边境地区,bian1 jing4 di4 qu1],border area,,,,,,,,,,,,,,,,,
邊境衝突,边境冲突,bian1 jing4 chong1 tu1],border clash,,,,,,,,,,,,,,,,,
邊壩,边坝,Bian1 ba4],Banbar county Tibetan: Dpal 'bar rdzong in Chamdo prefecture 昌都地區|昌都地区[Chang1 du1 di4 qu1] Tibet,,,,,,,,,,,,,,,,,
邊壩縣,边坝县,Bian1 ba4 xian4],Banbar county Tibetan: Dpal 'bar rdzong in Chamdo prefecture 昌都地區|昌都地区[Chang1 du1 di4 qu1] Tibet,,,,,,,,,,,,,,,,,
邊寨,边寨,bian1 zhai4],frontier stockade,,,,,,,,,,,,,,,,,
邊幅,边幅,bian1 fu2],cloth margin,fig. person's appearance,one's dress,,,,,,,,,,,,,,,
邊幣,边币,bian1 bi4],Border Region currency issued by the Communist Border Region governments during the War against Japan and the War of Liberation,,,,,,,,,,,,,,,,,
邊庭,边庭,bian1 ting2],bodies governing a border area,,,,,,,,,,,,,,,,,
邊廂,边厢,bian1 xiang1],side,side-room,room in the wings,,,,,,,,,,,,,,,
邊患,边患,bian1 huan4],foreign invasion,disaster on border due to incursion,,,,,,,,,,,,,,,,
邊材,边材,bian1 cai2],sapwood (between vascular cambium and pith inside growing wood),,,,,,,,,,,,,,,,,
邊框,边框,bian1 kuang4],frame,rim,,,,,,,,,,,,,,,,
邊檢,边检,bian1 jian3],border inspection,immigration inspection,,,,,,,,,,,,,,,,
邊民,边民,bian1 min2],people living on the frontiers,inhabitants of a border area,,,,,,,,,,,,,,,,
邊沿,边沿,bian1 yan2],edge,fringe,,,,,,,,,,,,,,,,
邊界,边界,bian1 jie4],boundary,border,,,,,,,,,,,,,,,,
邊界層,边界层,bian1 jie4 ceng2],boundary layer,,,,,,,,,,,,,,,,,
