1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
恩,恩,en1],favor,grace,kindness,,,,,,,,,,,,,,,
恩人,恩人,en1 ren2],a benefactor,a person who has significantly helped sb else,,,,,,,,,,,,,,,,
恩仇,恩仇,en1 chou2],debt of gratitude coupled with duty to avenge,,,,,,,,,,,,,,,,,
恩俸,恩俸,en1 feng4],pension granted as a favor,,,,,,,,,,,,,,,,,
恩公,恩公,en1 gong1],benefactor,,,,,,,,,,,,,,,,,
恩典,恩典,en1 dian3],favor,grace,,,,,,,,,,,,,,,,
恩准,恩准,en1 zhun3],approved by His (or Her) Majesty,permission graciously granted (from highly authoritative position),to graciously permit,to condescend to allow,,,,,,,,,,,,,,
恩同再造,恩同再造,en1 tong2 zai4 zao4],your favor amounts to being given a new lease on life (idiom),,,,,,,,,,,,,,,,,
恩培多克勒,恩培多克勒,En1 pei2 duo1 ke4 lei1],Empedocles (490-430 BC) Greek Sicilian pre-Socratic philosopher,,,,,,,,,,,,,,,,,
恩威兼施,恩威兼施,en1 wei1 jian1 shi1],to employ both kindness and severity (idiom),,,,,,,,,,,,,,,,,
恩寵,恩宠,en1 chong3],special favor from a ruler,Emperor's generosity towards a favorite,,,,,,,,,,,,,,,,
恩將仇報,恩将仇报,en1 jiang1 chou2 bao4],to bite the hand that feeds one (idiom),,,,,,,,,,,,,,,,,
恩師,恩师,en1 shi1],(greatly respected) teacher,,,,,,,,,,,,,,,,,
恩平,恩平,En1 ping2],Enping county level city in Jiangmen 江門|江门 Guangdong,,,,,,,,,,,,,,,,,
恩平市,恩平市,En1 ping2 shi4],Enping county level city in Jiangmen 江門|江门 Guangdong,,,,,,,,,,,,,,,,,
恩德,恩德,en1 de2],benevolence,favor,,,,,,,,,,,,,,,,
恩怨,恩怨,en1 yuan4],gratitude and grudges,resentment,grudges,grievances,,,,,,,,,,,,,,
恩情,恩情,en1 qing2],kindness,affection,grace,favor,,,,,,,,,,,,,,
恩惠,恩惠,en1 hui4],favor,grace,,,,,,,,,,,,,,,,
恩愛,恩爱,en1 ai4],loving affection (in a couple),conjugal love,,,,,,,,,,,,,,,,
恩慈,恩慈,en1 ci2],bestowed kindness,,,,,,,,,,,,,,,,,
恩斯赫德,恩斯赫德,En1 si1 he4 de2],Enschede city in the Netherlands,,,,,,,,,,,,,,,,,
恩斷義絕,恩断义绝,en1 duan4 yi4 jue2],to split up,to break all ties,,,,,,,,,,,,,,,,
恩施,恩施,En1 shi1],Enshi prefecture level city in southwest Hubei capital of Enshi Tujia and Miao autonomous prefecture 恩施土家族苗族自治州,,,,,,,,,,,,,,,,,
恩施土家族苗族自治州,恩施土家族苗族自治州,En1 shi1 Tu3 jia1 zu2 Miao2 zu2 zi4 zhi4 zhou1],Enshi Tujia and Miao autonomous prefecture in Hubei,,,,,,,,,,,,,,,,,
恩施地區,恩施地区,En1 shi1 di4 qu1],Enshi in Hubei,abbr. for Enshi Tujia and Miao autonomous prefecture 恩施土家族苗族自治州[En1 shi1 Tu3 jia1 zu2 Miao2 zu2 zi4 zhi4 zhou1],,,,,,,,,,,,,,,,
恩施市,恩施市,En1 shi1 shi4],Enshi prefecture level city in Hubei capital of Enshi Tujia and Miao autonomous prefecture 恩施土家族苗族自治州,,,,,,,,,,,,,,,,,
恩施縣,恩施县,En1 shi1 xian4],Enshi county in southwest Hubei,,,,,,,,,,,,,,,,,
恩格斯,恩格斯,En1 ge2 si1],Friedrich Engels (1820-1895) socialist philosopher and one of the founder of Marxism,,,,,,,,,,,,,,,,,
恩格爾,恩格尔,En1 ge2 er3],Engel (name),Ernst Engel (1821-1896) German statistician,,,,,,,,,,,,,,,,
恩比天大,恩比天大,en1 bi3 tian1 da4],to be as kind and benevolent as heaven (idiom),,,,,,,,,,,,,,,,,
恩澤,恩泽,en1 ze2],favor from an emperor or high official,,,,,,,,,,,,,,,,,
恩眄,恩眄,en1 mian3],kind patronage,,,,,,,,,,,,,,,,,
恩義,恩义,en1 yi4],feelings of gratitude and loyalty,,,,,,,,,,,,,,,,,
恩膏,恩膏,en1 gao1],rich favor,,,,,,,,,,,,,,,,,
恩賈梅納,恩贾梅纳,En1 jia3 mei2 na4],N'Djamena capital of Chad,,,,,,,,,,,,,,,,,
恩賜,恩赐,en1 ci4],favor,to give charity to sb out of pity,,,,,,,,,,,,,,,,
恩里科·費米,恩里科·费米,En1 li3 ke1 · Fei4 mi3],Enrico Fermi (1901-1954) Italian born US nuclear physicist,,,,,,,,,,,,,,,,,
恪,恪,Ke4],surname Ke,,,,,,,,,,,,,,,,,
恪,恪,ke4],respectful,scrupulous,,,,,,,,,,,,,,,,
恪守,恪守,ke4 shou3],to scrupulously abide by,,,,,,,,,,,,,,,,,
恪慎,恪慎,ke4 shen4],careful,reverently,,,,,,,,,,,,,,,,
恪遵,恪遵,ke4 zun1],to scrupulously observe (rules traditions etc),,,,,,,,,,,,,,,,,
恫,恫,dong4],frighten,,,,,,,,,,,,,,,,,
恫嚇,恫吓,dong4 he4],to intimidate,to threaten,,,,,,,,,,,,,,,,
恬,恬,tian2],quiet,calm,tranquil,peaceful,,,,,,,,,,,,,,
恬不知恥,恬不知耻,tian2 bu4 zhi1 chi3],to have no sense of shame,,,,,,,,,,,,,,,,,
恬和,恬和,tian2 he2],quiet and gentle,,,,,,,,,,,,,,,,,
恬噪,恬噪,tian2 zao4],to caw,,,,,,,,,,,,,,,,,
恬愉,恬愉,tian2 yu2],content and at ease,,,,,,,,,,,,,,,,,
恬愉之安,恬愉之安,tian2 yu2 zhi1 an1],comfortably at peace (idiom),,,,,,,,,,,,,,,,,
恬暢,恬畅,tian2 chang4],comfortable and happy,,,,,,,,,,,,,,,,,
恬波,恬波,tian2 bo1],calm waters,,,,,,,,,,,,,,,,,
恬淡,恬淡,tian2 dan4],quiet and contented,indifferent to fame or gain,,,,,,,,,,,,,,,,
恬漠,恬漠,tian2 mo4],indifferent and undisturbed,,,,,,,,,,,,,,,,,
恬澹,恬澹,tian2 dan4],variant of 恬淡[tian2 dan4],,,,,,,,,,,,,,,,,
恬然,恬然,tian2 ran2],unperturbed,nonchalant,,,,,,,,,,,,,,,,
恬美,恬美,tian2 mei3],quiet and nice,,,,,,,,,,,,,,,,,
恬謐,恬谧,tian2 mi4],quiet,peaceful,,,,,,,,,,,,,,,,
恬退,恬退,tian2 tui4],contented,uninterested in wealth and glory,,,,,,,,,,,,,,,,
恬逸,恬逸,tian2 yi4],free from worry and disturbance,,,,,,,,,,,,,,,,,
恬適,恬适,tian2 shi4],quiet and comfortable,,,,,,,,,,,,,,,,,
恬雅,恬雅,tian2 ya3],retired and quiet,calm and graceful,,,,,,,,,,,,,,,,
恬靜,恬静,tian2 jing4],still,peaceful,quiet,,,,,,,,,,,,,,,
恭,恭,gong1],respectful,,,,,,,,,,,,,,,,,
恭候,恭候,gong1 hou4],to look forward to sth,to wait respectfully,,,,,,,,,,,,,,,,
恭喜,恭喜,gong1 xi3],congratulations,greetings,,,,,,,,,,,,,,,,
恭喜發財,恭喜发财,gong1 xi3 fa1 cai2],May you have a prosperous New Year! (New Year's greeting),,,,,,,,,,,,,,,,,
恭城,恭城,Gong1 cheng2],Gongcheng Yao autonomous county in Guilin 桂林[Gui4 lin2] Guangxi,,,,,,,,,,,,,,,,,
恭城瑤族自治縣,恭城瑶族自治县,Gong1 cheng2 Yao2 zu2 zi4 zhi4 xian4],Gongcheng Yao autonomous county in Guilin 桂林[Gui4 lin2] Guangxi,,,,,,,,,,,,,,,,,
恭城縣,恭城县,Gong1 cheng2 xian4],Gongcheng Yao autonomous county in Guilin 桂林[Gui4 lin2] Guangxi,,,,,,,,,,,,,,,,,
恭惟,恭惟,gong1 wei5],variant of 恭維|恭维[gong1 wei5],,,,,,,,,,,,,,,,,
恭敬,恭敬,gong1 jing4],deferential,respectful,,,,,,,,,,,,,,,,
恭敬不如從命,恭敬不如从命,gong1 jing4 bu4 ru2 cong2 ming4],deference is no substitute for obedience (idiom),(said to accept sb's request invitation etc),,,,,,,,,,,,,,,,
恭祝,恭祝,gong1 zhu4],to congratulate respectfully,to wish good luck and success (esp. to a superior),with best wishes (in writing),,,,,,,,,,,,,,,
恭維,恭维,gong1 wei5],to praise,to speak highly of,compliment,praise,,,,,,,,,,,,,,
恭親王,恭亲王,Gong1 qin1 wang2],Grand Prince (Qing title),,,,,,,,,,,,,,,,,
恭親王奕訢,恭亲王奕䜣,Gong1 qin1 wang2 Yi4 xin1],Grand Prince Yixin (1833-1898) sixth son of Emperor Daoguang prominent politician diplomat and modernizer in late Qing,,,,,,,,,,,,,,,,,
恭賀,恭贺,gong1 he4],to congratulate respectfully,to express good wishes,,,,,,,,,,,,,,,,
恭賀佳節,恭贺佳节,gong1 he4 jia1 jie2],season's greetings (idiom),,,,,,,,,,,,,,,,,
恭賀新禧,恭贺新禧,gong1 he4 xin1 xi3],Happy New Year,,,,,,,,,,,,,,,,,
恭順,恭顺,gong1 shun4],deferential,respectful,,,,,,,,,,,,,,,,
息,息,xi1],breath,news,interest (on an investment or loan),to cease,to stop,to rest,Taiwan pr. [xi2],,,,,,,,,,,
息事寧人,息事宁人,xi1 shi4 ning2 ren2],to keep the peace; to patch up a quarrel (idiom),,,,,,,,,,,,,,,,,
息峰縣,息峰县,Xi1 feng1 xian4],Xifeng county in Guizhou,,,,,,,,,,,,,,,,,
息怒,息怒,xi1 nu4],to calm down,to quell one's anger,,,,,,,,,,,,,,,,
息息相關,息息相关,xi1 xi1 xiang1 guan1],closely bound up (idiom); intimately related,,,,,,,,,,,,,,,,,
息烽,息烽,Xi1 feng1],Xifeng county in Guiyang 貴陽|贵阳[Gui4 yang2] Guizhou,,,,,,,,,,,,,,,,,
息烽縣,息烽县,Xi1 feng1 xian4],Xifeng county in Guiyang 貴陽|贵阳[Gui4 yang2] Guizhou,,,,,,,,,,,,,,,,,
息爭,息争,xi1 zheng1],to settle a dispute,,,,,,,,,,,,,,,,,
息率,息率,xi1 lu:4],interest rate,,,,,,,,,,,,,,,,,
息票,息票,xi1 piao4],interest coupon,dividend coupon,,,,,,,,,,,,,,,,
息縣,息县,Xi1 xian4],Xi county in Xinyang 信陽|信阳 Henan,,,,,,,,,,,,,,,,,
息肉,息肉,xi1 rou4],(medicine) polyp,,,,,,,,,,,,,,,,,
息肩,息肩,xi1 jian1],(literary) to put down one's burden,to rest,to stay (at an inn etc),,,,,,,,,,,,,,,
恰,恰,qia4],exactly,just,,,,,,,,,,,,,,,,
恰似,恰似,qia4 si4],just like,exactly like,,,,,,,,,,,,,,,,
恰到好處,恰到好处,qia4 dao4 hao3 chu4],it's just perfect,it's just right,,,,,,,,,,,,,,,,
恰合,恰合,qia4 he2],to be just right for,,,,,,,,,,,,,,,,,
恰好,恰好,qia4 hao3],as it turns out,by lucky coincidence,(of number time size etc) just right,,,,,,,,,,,,,,,
恰如,恰如,qia4 ru2],just as if,,,,,,,,,,,,,,,,,
恰如其份,恰如其份,qia4 ru2 qi2 fen4],appropriate,judicious,accurate (assessment etc),,,,,,,,,,,,,,,
恰如其分,恰如其分,qia4 ru2 qi2 fen4],to say or do sth appropriate (idiom),,,,,,,,,,,,,,,,,
恰巧,恰巧,qia4 qiao3],fortunately,unexpectedly,by coincidence,,,,,,,,,,,,,,,
恰帕斯州,恰帕斯州,Qia4 pa4 si1 zhou1],Chiapas state in Mexico,,,,,,,,,,,,,,,,,
恰恰,恰恰,qia4 qia4],exactly,just,precisely,,,,,,,,,,,,,,,
恰恰舞,恰恰舞,qia4 qia4 wu3],(loanword) cha-cha (dance),,,,,,,,,,,,,,,,,
恰當,恰当,qia4 dang4],appropriate,suitable,,,,,,,,,,,,,,,,
恰遇,恰遇,qia4 yu4],to chance upon,to coincide fortuitously with sth,,,,,,,,,,,,,,,,
恵,恵,hui4],Japanese variant of 惠[hui4],,,,,,,,,,,,,,,,,
恿,恿,yong3],to urge,to incite,,,,,,,,,,,,,,,,
悀,悀,yong3],to be angry,to like,variant of 湧|涌[yong3],,,,,,,,,,,,,,,
悁,悁,juan1],angry,sad,,,,,,,,,,,,,,,,
悁,悁,juan4],impatient,,,,,,,,,,,,,,,,,
悃,悃,kun3],sincere,,,,,,,,,,,,,,,,,
悄,悄,qiao1],see 悄悄[qiao1 qiao1],,,,,,,,,,,,,,,,,
悄,悄,qiao3],quiet,sad,,,,,,,,,,,,,,,,
悄悄,悄悄,qiao1 qiao1],quietly,secretly,stealthily,quiet,worried,Taiwan pr. [qiao3 qiao3],,,,,,,,,,,,
悄悄話,悄悄话,qiao1 qiao5 hua4],whisperings,private words,confidences,sweet nothings,,,,,,,,,,,,,,
悄無聲息,悄无声息,qiao3 wu2 sheng1 xi1],quietly,noiselessly,,,,,,,,,,,,,,,,
悄然,悄然,qiao3 ran2],quietly,sorrowfully,,,,,,,,,,,,,,,,
悄然無聲,悄然无声,qiao3 ran2 wu2 sheng1],absolutely quiet,,,,,,,,,,,,,,,,,
悄聲,悄声,qiao3 sheng1],quietly,in a low voice,,,,,,,,,,,,,,,,
悅,悦,yue4],pleased,,,,,,,,,,,,,,,,,
悅納,悦纳,yue4 na4],to find acceptable,,,,,,,,,,,,,,,,,
悅耳,悦耳,yue4 er3],sweet-sounding,beautiful (of sound),,,,,,,,,,,,,,,,
悅色,悦色,yue4 se4],happy,contented,,,,,,,,,,,,,,,,
悆,悆,yu4],happy,,,,,,,,,,,,,,,,,
悉,悉,xi1],in all cases,know,,,,,,,,,,,,,,,,
悉尼,悉尼,Xi1 ni2],Sydney capital of New South Wales Australia,,,,,,,,,,,,,,,,,
悉德尼,悉德尼,Xi1 de2 ni2],Sidney or Sydney (name),,,,,,,,,,,,,,,,,
悉心,悉心,xi1 xin1],to put one's heart (and soul) into sth,with great care,,,,,,,,,,,,,,,,
悉數,悉数,xi1 shu3],to enumerate in detail,to explain clearly,,,,,,,,,,,,,,,,
悉數,悉数,xi1 shu4],all,every single one,the entire sum,,,,,,,,,,,,,,,
悉達多,悉达多,Xi1 da2 duo1],Siddhartha Gautama (563-485 BC) the historical Buddha and founder of Buddhism,,,,,,,,,,,,,,,,,
悊,悊,zhe2],to respect,old variant of 哲[zhe2],philosophy,wisdom,intuitive knowledge,to revere,,,,,,,,,,,,
悌,悌,ti4],to do one's duty as a younger brother,,,,,,,,,,,,,,,,,
悌友,悌友,ti4 you3],to show brotherly love for friends,,,,,,,,,,,,,,,,,
悌睦,悌睦,ti4 mu4],to live at peace as brothers,,,,,,,,,,,,,,,,,
悍,悍,han4],heroic,intrepid,valiant,dauntless,fierce,ferocious,violent,,,,,,,,,,,
悍勇,悍勇,han4 yong3],intrepid,valiant,dauntless,,,,,,,,,,,,,,,
悍婦,悍妇,han4 fu4],violent woman,shrew,,,,,,,,,,,,,,,,
悍然,悍然,han4 ran2],outrageous,brazen,flagrant,,,,,,,,,,,,,,,
悍然不顧,悍然不顾,han4 ran2 bu4 gu4],outrageous and unconventional (idiom); flying in the face of (authority convention public opinion etc),,,,,,,,,,,,,,,,,
悐,悐,ti4],respect regard,to stand in awe of to be alarmed,,,,,,,,,,,,,,,,
悑,悑,bu4],old variant of 怖[bu4],,,,,,,,,,,,,,,,,
悒,悒,yi4],anxiety,worry,,,,,,,,,,,,,,,,
悔,悔,hui3],to regret,,,,,,,,,,,,,,,,,
悔不當初,悔不当初,hui3 bu4 dang1 chu1],to regret one's past deeds (idiom),,,,,,,,,,,,,,,,,
悔之已晚,悔之已晚,hui3 zhi1 yi3 wan3],too late to be sorry,,,,,,,,,,,,,,,,,
悔之無及,悔之无及,hui3 zhi1 wu2 ji2],too late for regrets (idiom); It is useless to repent after the event.,,,,,,,,,,,,,,,,,
悔婚,悔婚,hui3 hun1],to break a promise of marriage,,,,,,,,,,,,,,,,,
悔恨,悔恨,hui3 hen4],remorse,repentance,,,,,,,,,,,,,,,,
悔恨交加,悔恨交加,hui3 hen4 jiao1 jia1],to feel remorse and shame (idiom),,,,,,,,,,,,,,,,,
悔悟,悔悟,hui3 wu4],to repent,,,,,,,,,,,,,,,,,
悔意,悔意,hui3 yi4],remorse,,,,,,,,,,,,,,,,,
悔改,悔改,hui3 gai3],to repent,repentance,,,,,,,,,,,,,,,,
悔棋,悔棋,hui3 qi2],to withdraw a move (chess),,,,,,,,,,,,,,,,,
悔罪,悔罪,hui3 zui4],conviction,,,,,,,,,,,,,,,,,
悔過,悔过,hui3 guo4],to regret,to repent,,,,,,,,,,,,,,,,
悔過書,悔过书,hui3 guo4 shu1],written repentance,,,,,,,,,,,,,,,,,
悔過自新,悔过自新,hui3 guo4 zi4 xin1],to repent and start afresh (idiom); to turn over a new leaf,,,,,,,,,,,,,,,,,
悖,悖,bei4],to go against,to be contrary to,perverse,rebellious,,,,,,,,,,,,,,
悖亂,悖乱,bei4 luan4],to rebel,sedition,to delude,confused,,,,,,,,,,,,,,
悖晦,悖晦,bei4 hui4],(coll.) muddleheaded,,,,,,,,,,,,,,,,,
悖繆,悖缪,bei4 miu4],variant of 悖謬|悖谬[bei4 miu4],,,,,,,,,,,,,,,,,
悖論,悖论,bei4 lun4],paradox (logic),,,,,,,,,,,,,,,,,
悖謬,悖谬,bei4 miu4],absurd,irrational,,,,,,,,,,,,,,,,
悖逆,悖逆,bei4 ni4],contrary,,,,,,,,,,,,,,,,,
悚,悚,song3],frightened,,,,,,,,,,,,,,,,,
悚然,悚然,song3 ran2],frightened,terrified,,,,,,,,,,,,,,,,
悛,悛,quan1],to reform,,,,,,,,,,,,,,,,,
悜,悜,cheng3],obscure,,,,,,,,,,,,,,,,,
悝,悝,kui1],to laugh at,,,,,,,,,,,,,,,,,
悝,悝,li3],worried,afflicted,,,,,,,,,,,,,,,,
悞,悮,wu4],to impede,to delay,variant of 誤|误[wu4],,,,,,,,,,,,,,,
悟,悟,wu4],to comprehend,to apprehend,to become aware,,,,,,,,,,,,,,,
悟入,悟入,wu4 ru4],to understand,to comprehend the ultimate essence of things (Buddhism),,,,,,,,,,,,,,,,
悟性,悟性,wu4 xing4],perception,wits,power of understanding,comprehension,,,,,,,,,,,,,,
悟淨,悟净,Wu4 jing4],Sha Wujing character from the Journey to the West,,,,,,,,,,,,,,,,,
悟空,悟空,Wu4 Kong1],Sun Wukong the Monkey King character with supernatural powers from the novel Journey to the West 西遊記|西游记[Xi1 You2 Ji4],,,,,,,,,,,,,,,,,
悟能,悟能,Wu4 neng2],Zhu Bajie 豬八戒|猪八戒[Zhu1 Ba1 jie4] or Zhu Wuneng Pigsy or Pig (in Journey to the West),,,,,,,,,,,,,,,,,
悠,悠,you1],long or drawn out,remote in time or space,leisurely,to swing,pensive,worried,,,,,,,,,,,,
悠久,悠久,you1 jiu3],long (tradition history etc),,,,,,,,,,,,,,,,,
悠哉,悠哉,you1 zai1],see 悠哉悠哉[you1 zai1 you1 zai1],,,,,,,,,,,,,,,,,
悠哉悠哉,悠哉悠哉,you1 zai1 you1 zai1],free and unconstrained (idiom),leisurely and carefree,,,,,,,,,,,,,,,,
悠哉遊哉,悠哉游哉,you1 zai1 you2 zai1],see 悠哉悠哉[you1 zai1 you1 zai1],,,,,,,,,,,,,,,,,
悠悠,悠悠,you1 you1],lasting for ages,long drawn out,remote in time or space,unhurried,a great number (of events),preposterous,pensive,,,,,,,,,,,
悠悠球,悠悠球,you1 you1 qiu2],yo-yo (loanword),,,,,,,,,,,,,,,,,
悠揚,悠扬,you1 yang2],melodious,mellifluous,,,,,,,,,,,,,,,,
悠然,悠然,you1 ran2],unhurried,leisurely,,,,,,,,,,,,,,,,
悠然神往,悠然神往,you1 ran2 shen2 wang3],thoughts wandering far away,,,,,,,,,,,,,,,,,
悠著,悠着,you1 zhe5],to take it easy,,,,,,,,,,,,,,,,,
悠遊卡,悠游卡,You1 you2 Ka3],EasyCard smartcard used for payment on public transport and at other businesses such as convenience stores in Taipei and surrounding areas,,,,,,,,,,,,,,,,,
悠遠,悠远,you1 yuan3],long time ago,distant,far away,,,,,,,,,,,,,,,
悠長,悠长,you1 chang2],long,drawn-out,prolonged,lingering,,,,,,,,,,,,,,
悠閑,悠闲,you1 xian2],variant of 悠閒|悠闲,leisurely,,,,,,,,,,,,,,,,
悠閒,悠闲,you1 xian2],leisurely,carefree,relaxed,,,,,,,,,,,,,,,
患,患,huan4],to suffer (from illness),to contract (a disease),misfortune,trouble,danger,worry,,,,,,,,,,,,
患兒,患儿,huan4 er2],child victim of disaster or disease,afflicted child,,,,,,,,,,,,,,,,
患得患失,患得患失,huan4 de2 huan4 shi1],to worry about personal gains and losses,,,,,,,,,,,,,,,,,
患晚期,患晚期,huan4 wan3 qi1],terminal stage (of illness),,,,,,,,,,,,,,,,,
患有,患有,huan4 you3],to contract (an illness),to be afflicted with,to suffer from,,,,,,,,,,,,,,,
患病,患病,huan4 bing4],to fall ill,,,,,,,,,,,,,,,,,
患病者,患病者,huan4 bing4 zhe3],person suffering (from a disease or poisoning),a patient,,,,,,,,,,,,,,,,
患者,患者,huan4 zhe3],patient,sufferer,,,,,,,,,,,,,,,,
患處,患处,huan4 chu4],afflicted part,,,,,,,,,,,,,,,,,
患難,患难,huan4 nan4],trials and tribulations,,,,,,,,,,,,,,,,,
患難之交,患难之交,huan4 nan4 zhi1 jiao1],a friend in times of tribulations (idiom); a friend in need is a friend indeed,,,,,,,,,,,,,,,,,
患難見真情,患难见真情,huan4 nan4 jian4 zhen1 qing2],a friend in need is a friend indeed (idiom),,,,,,,,,,,,,,,,,
悤,匆,cong1],variant of 匆[cong1],,,,,,,,,,,,,,,,,
悧,悧,li4],smooth,active,clever,sharp,,,,,,,,,,,,,,
您,您,nin2],you (courteous as opposed to informal 你[ni3]),,,,,,,,,,,,,,,,,
您好,您好,nin2 hao3],hello (polite),,,,,,,,,,,,,,,,,
悩,悩,nao3],Japanese variant of 惱|恼,,,,,,,,,,,,,,,,,
悪,悪,e4],Japanese variant of 惡|恶[e4],,,,,,,,,,,,,,,,,
悰,悰,cong2],joy,,,,,,,,,,,,,,,,,
悱,悱,fei3],want but cannot speak,,,,,,,,,,,,,,,,,
悲,悲,bei1],sad,sadness,sorrow,grief,,,,,,,,,,,,,,
悲不自勝,悲不自胜,bei1 bu4 zi4 sheng4],unable to control one's grief (idiom); overwrought,overcome with sorrow,heartbroken,,,,,,,,,,,,,,,
悲催,悲催,bei1 cui1],(Internet slang) miserable,pathetic,the pits,,,,,,,,,,,,,,,
悲傷,悲伤,bei1 shang1],sad,sorrowful,,,,,,,,,,,,,,,,
悲切,悲切,bei1 qie4],mournful,,,,,,,,,,,,,,,,,
悲劇,悲剧,bei1 ju4],tragedy,CL:出[chu1],,,,,,,,,,,,,,,,
悲劇性,悲剧性,bei1 ju4 xing4],tragic,,,,,,,,,,,,,,,,,
悲劇缺陷,悲剧缺陷,bei1 ju4 que1 xian4],tragic flaw (Aristotle's hamartia),,,,,,,,,,,,,,,,,
悲哀,悲哀,bei1 ai1],grieved,sorrowful,,,,,,,,,,,,,,,,
悲哽,悲哽,bei1 geng3],to choke with grief,,,,,,,,,,,,,,,,,
悲啼,悲啼,bei1 ti2],to wail with grief,plaintive cry,,,,,,,,,,,,,,,,
悲喜交集,悲喜交集,bei1 xi3 jiao1 ji2],mixed feelings of grief and joy,,,,,,,,,,,,,,,,,
悲喜劇,悲喜剧,bei1 xi3 ju4],tragicomedy,,,,,,,,,,,,,,,,,
悲嘆,悲叹,bei1 tan4],to bewail,to sigh mournfully,to lament,,,,,,,,,,,,,,,
悲壯,悲壮,bei1 zhuang4],solemn and stirring,moving and tragic,,,,,,,,,,,,,,,,
悲天憫人,悲天悯人,bei1 tian1 min3 ren2],to bemoan the state of the universe and pity the fate of mankind,,,,,,,,,,,,,,,,,
悲悼,悲悼,bei1 dao4],mourn,grieve over sb's death,,,,,,,,,,,,,,,,
悲悽,悲凄,bei1 qi1],pitiable,sorrowful,,,,,,,,,,,,,,,,
悲惻,悲恻,bei1 ce4],grieved,sorrowful,,,,,,,,,,,,,,,,
悲愁,悲愁,bei1 chou2],melancholy,,,,,,,,,,,,,,,,,
悲愴,悲怆,bei1 chuang4],sorrow,tragic,,,,,,,,,,,,,,,,
悲慘,悲惨,bei1 can3],miserable,tragic,,,,,,,,,,,,,,,,
悲慘世界,悲惨世界,Bei1 can3 Shi4 jie4],Les Misérables (1862) by Victor Hugo 維克多·雨果|维克多·雨果[Wei2 ke4 duo1 · Yu3 guo3],,,,,,,,,,,,,,,,,
悲慟,悲恸,bei1 tong4],mournful,,,,,,,,,,,,,,,,,
悲憤,悲愤,bei1 fen4],grief and indignation,,,,,,,,,,,,,,,,,
悲憫,悲悯,bei1 min3],to take pity on sb,compassionate,,,,,,,,,,,,,,,,
悲戚,悲戚,bei1 qi1],mournful,,,,,,,,,,,,,,,,,
悲摧,悲摧,bei1 cui1],grieved,miserable,,,,,,,,,,,,,,,,
悲楚,悲楚,bei1 chu3],sorrowful,grieved,,,,,,,,,,,,,,,,
悲歌,悲歌,bei1 ge1],sad melody,stirring strains,elegy,dirge,threnody,sing with solemn fervor,,,,,,,,,,,,
悲歌當哭,悲歌当哭,bei1 ge1 dang4 ku1],to sing instead of weep (idiom),,,,,,,,,,,,,,,,,
悲歎,悲叹,bei1 tan4],to bewail,to sigh mournfully,to lament,,,,,,,,,,,,,,,
悲歡離合,悲欢离合,bei1 huan1 li2 he2],joys and sorrows,partings and reunions,the vicissitudes of life,,,,,,,,,,,,,,,
悲泣,悲泣,bei1 qi4],to weep with grief,,,,,,,,,,,,,,,,,
悲涼,悲凉,bei1 liang2],sorrowful,dismal,,,,,,,,,,,,,,,,
悲痛,悲痛,bei1 tong4],grieved,sorrowful,,,,,,,,,,,,,,,,
悲聲載道,悲声载道,bei1 sheng1 zai4 dao4],lamentations fill the roads (idiom); severe suffering all around,,,,,,,,,,,,,,,,,
悲苦,悲苦,bei1 ku3],forlorn,miserable,,,,,,,,,,,,,,,,
悲觀,悲观,bei1 guan1],pessimistic,,,,,,,,,,,,,,,,,
悲酸,悲酸,bei1 suan1],bitter and sad,,,,,,,,,,,,,,,,,
悲鳴,悲鸣,bei1 ming2],utter sad calls,lament,,,,,,,,,,,,,,,,
悳,德,de2],variant of 德[de2],,,,,,,,,,,,,,,,,
悴,悴,cui4],haggard,sad,downcast,distressed,,,,,,,,,,,,,,
悵,怅,chang4],regretful,upset,despair,depressed,,,,,,,,,,,,,,
悵悵然,怅怅然,chang4 chang4 ran2],disappointed,,,,,,,,,,,,,,,,,
悵惘,怅惘,chang4 wang3],distracted,listless,in low spirits,,,,,,,,,,,,,,,
悵然,怅然,chang4 ran2],disappointed and frustrated,,,,,,,,,,,,,,,,,
悶,闷,men1],stuffy,shut indoors,to smother,to cover tightly,,,,,,,,,,,,,,
悶,闷,men4],bored,depressed,melancholy,sealed,airtight,tightly closed,,,,,,,,,,,,
悶悶不樂,闷闷不乐,men4 men4 bu4 le4],depressed,sulky,moody,unhappy,,,,,,,,,,,,,,
悶熱,闷热,men1 re4],sultry,sultriness,hot and stuffy,stifling hot,,,,,,,,,,,,,,
悶聲不響,闷声不响,men1 sheng1 bu4 xiang3],to keep silent,,,,,,,,,,,,,,,,,
悶聲悶氣,闷声闷气,men1 sheng1 men1 qi4],muffled,,,,,,,,,,,,,,,,,
悶葫蘆,闷葫芦,men4 hu2 lu5],lit. closed gourd,fig. enigma,complete mystery,taciturn person,,,,,,,,,,,,,,
悶酒,闷酒,men4 jiu3],alcohol drunk to drown one's sorrows,,,,,,,,,,,,,,,,,
悶雷,闷雷,men4 lei2],muffled thunder,(fig.) sudden shock,blow,,,,,,,,,,,,,,,
悶騷,闷骚,men1 sao1],(coll.) outwardly cold or retiring but deep and passionate inside,,,,,,,,,,,,,,,,,
悷,悷,li4],sorrowful,,,,,,,,,,,,,,,,,
