1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
徐熙媛,徐熙媛,Xu2 Xi1 yuan2],Xu Xiyuan or Hsu Hsiyuan or Barbie Hsu (1976-) Taiwan pop star and actress F4 band member,also called 大S,,,,,,,,,,,,,,,,
徐禎卿,徐祯卿,Xu2 Zhen1 qing1],Xu Zhenqing (1479-1511) Ming writer one of Four great southern talents of the Ming 江南四大才子,,,,,,,,,,,,,,,,,
徐福,徐福,Xu2 Fu2],Xu Fu (3rd century BC) Qin dynasty court necromancer,,,,,,,,,,,,,,,,,
徐緩,徐缓,xu2 huan3],slow,sluggish,lazily,to slow down,,,,,,,,,,,,,,
徐繼畬,徐继畲,Xu2 Ji4 yu2],Xu Jiyu (1795-1873) Chinese geographer,,,,,,,,,,,,,,,,,
徐聞,徐闻,Xu2 wen2],Xuwen county in Zhanjiang 湛江[Zhan4 jiang1] Guangdong,,,,,,,,,,,,,,,,,
徐聞縣,徐闻县,Xu2 wen2 xian4],Xuwen county in Zhanjiang 湛江[Zhan4 jiang1] Guangdong,,,,,,,,,,,,,,,,,
徐行,徐行,xu2 xing2],to walk slowly,to stroll,,,,,,,,,,,,,,,,
徐鉉,徐铉,Xu2 Xuan4],Xu Xuan (-991) author of commentaries on Shuowen Jiezi 說文解字註|说文解字注[Shuo1 wen2 Jie3 zi4 Zhu4],,,,,,,,,,,,,,,,,
徐霞客,徐霞客,Xu2 Xia2 ke4],Xu Xiake (1587-1641) Ming dynasty travel writer and geographer author of Xu Xiake's Travel Diaries 徐霞客遊記|徐霞客游记[Xu2 Xia2 ke4 You2 ji4],,,,,,,,,,,,,,,,,
徐霞客遊記,徐霞客游记,Xu2 Xia2 ke4 You2 ji4],Xu Xiake's Travel Diaries a book of travel records by 徐霞客[Xu2 Xia2 ke4] on geology geography plants etc,,,,,,,,,,,,,,,,,
徑,径,jing4],footpath,track,diameter,straight,directly,,,,,,,,,,,,,
徑向,径向,jing4 xiang4],radial (direction),,,,,,,,,,,,,,,,,
徑庭,径庭,jing4 ting2],completely different,,,,,,,,,,,,,,,,,
徑情直遂,径情直遂,jing4 qing2 zhi2 sui4],to achieve one's ambitions (idiom),,,,,,,,,,,,,,,,,
徑流,径流,jing4 liu2],runoff,,,,,,,,,,,,,,,,,
徑直,径直,jing4 zhi2],directly,,,,,,,,,,,,,,,,,
徑自,径自,jing4 zi4],without leave,without consulting anyone,,,,,,,,,,,,,,,,
徑賽,径赛,jing4 sai4],track events (athletics competition),,,,,,,,,,,,,,,,,
徑跡,径迹,jing4 ji4],track,trajectory,path,way,means,diameter,directly,,,,,,,,,,,
徑路,径路,jing4 lu4],route,path,,,,,,,,,,,,,,,,
徑道,径道,jing4 dao4],path,short-cut,,,,,,,,,,,,,,,,
徒,徒,Tu2],surname Tu,,,,,,,,,,,,,,,,,
徒,徒,tu2],disciple,apprentice,believer,on foot,bare or empty,to no avail,only,prison sentence,,,,,,,,,,
徒具,徒具,tu2 ju4],to only have,,,,,,,,,,,,,,,,,
徒刑,徒刑,tu2 xing2],prison sentence,,,,,,,,,,,,,,,,,
徒勞,徒劳,tu2 lao2],futile,,,,,,,,,,,,,,,,,
徒勞無功,徒劳无功,tu2 lao2 wu2 gong1],to work to no avail (idiom),,,,,,,,,,,,,,,,,
徒勞無益,徒劳无益,tu2 lao2 wu2 yi4],futile endeavor (idiom),,,,,,,,,,,,,,,,,
徒呼負負,徒呼负负,tu2 hu1 fu4 fu4],to feel powerless and full of shame (idiom),,,,,,,,,,,,,,,,,
徒工,徒工,tu2 gong1],apprentice,trainee worker,,,,,,,,,,,,,,,,
徒弟,徒弟,tu2 di4],apprentice,disciple,,,,,,,,,,,,,,,,
徒手,徒手,tu2 shou3],with bare hands,unarmed,fighting hand-to-hand,freehand (drawing),,,,,,,,,,,,,,
徒手畫,徒手画,tu2 shou3 hua4],freehand drawing,,,,,,,,,,,,,,,,,
徒擁虛名,徒拥虚名,tu2 yong1 xu1 ming2],to possess an undeserved reputation (idiom),,,,,,,,,,,,,,,,,
徒有其名,徒有其名,tu2 you3 qi2 ming2],with an undeserved reputation (idiom); unwarranted fame,nowhere near as good as he's made out to be,,,,,,,,,,,,,,,,
徒有虛名,徒有虚名,tu2 you3 xu1 ming2],with an undeserved reputation (idiom); unwarranted fame,nowhere near as good as he's made out to be,,,,,,,,,,,,,,,,
徒步,徒步,tu2 bu4],to be on foot,,,,,,,,,,,,,,,,,
徒步區,徒步区,tu2 bu4 qu1],(Tw) car-free zone,pedestrian zone,,,,,,,,,,,,,,,,
徒步旅行,徒步旅行,tu2 bu4 lu:3 xing2],hiking,,,,,,,,,,,,,,,,,
徒然,徒然,tu2 ran2],in vain,,,,,,,,,,,,,,,,,
徒自驚擾,徒自惊扰,tu2 zi4 jing1 rao3],to alarm oneself unnecessarily (idiom),,,,,,,,,,,,,,,,,
徒裼,徒裼,tu2 xi1],barefooted and barebreasted,,,,,,,,,,,,,,,,,
従,従,cong2],Japanese variant of 從|从,,,,,,,,,,,,,,,,,
得,得,de2],to obtain,to get,to gain,to catch (a disease),proper,suitable,proud,contented,to allow,to permit,ready,finished,,,,,,
得,得,de5],structural particle: used after a verb (or adjective as main verb) linking it to following phrase indicating effect degree possibility etc,,,,,,,,,,,,,,,,,
得,得,dei3],to have to,must,ought to,to need to,,,,,,,,,,,,,,
得不償失,得不偿失,de2 bu4 chang2 shi1],the gains do not make up for the losses (idiom),,,,,,,,,,,,,,,,,
得不到,得不到,de2 bu4 dao4],cannot get,cannot obtain,,,,,,,,,,,,,,,,
得中,得中,de2 zhong4],to succeed in an imperial examination,successful,to hit the target,to win (the lottery),suitable,proper,just right,,,,,,,,,,,
得主,得主,de2 zhu3],recipient (of an award),winner (in a competition),,,,,,,,,,,,,,,,
得了,得了,de2 le5],all right!,that's enough!,,,,,,,,,,,,,,,,
得了,得了,de2 liao3],(emphatically in rhetorical questions) possible,,,,,,,,,,,,,,,,,
得令,得令,de2 ling4],to follow your orders,roger!,yessir!,,,,,,,,,,,,,,,
得以,得以,de2 yi3],able to,so that sb can,enabling,in order to,finally in a position to,with sth in view,,,,,,,,,,,,
得來速,得来速,de2 lai2 su4],drive-thru (loanword),,,,,,,,,,,,,,,,,
得克薩斯,得克萨斯,De2 ke4 sa4 si1],Texas US state,,,,,,,,,,,,,,,,,
得克薩斯州,得克萨斯州,De2 ke4 sa4 si1 zhou1],Texas US state,,,,,,,,,,,,,,,,,
得出,得出,de2 chu1],to obtain (results),to arrive at (a conclusion),,,,,,,,,,,,,,,,
得分,得分,de2 fen1],to score,,,,,,,,,,,,,,,,,
得到,得到,de2 dao4],to get,to obtain,to receive,,,,,,,,,,,,,,,
得力,得力,de2 li4],able,capable,competent,efficient,,,,,,,,,,,,,,
得勝,得胜,de2 sheng4],to triumph over an opponent,,,,,,,,,,,,,,,,,
得勢,得势,de2 shi4],to win power,to get authority,to become dominant,,,,,,,,,,,,,,,
得可以,得可以,de5 ke3 yi3],(coll.) very,awfully,,,,,,,,,,,,,,,,
得名,得名,de2 ming2],to get one's name,named (after sth),,,,,,,,,,,,,,,,
得天獨厚,得天独厚,de2 tian1 du2 hou4],blessed by heaven (idiom),enjoying exceptional advantages,favored by nature,,,,,,,,,,,,,,,
得失,得失,de2 shi1],gains and losses,success and failure,merits and demerits,,,,,,,,,,,,,,,
得宜,得宜,de2 yi2],proper,appropriate,suitable,,,,,,,,,,,,,,,
得寵,得宠,de2 chong3],to be a favorite,favor,,,,,,,,,,,,,,,,
得寸進尺,得寸进尺,de2 cun4 jin4 chi3],lit. win an inch want a foot (idiom); fig. not satisfied with small gains,give him an inch and he'll want a mile,,,,,,,,,,,,,,,,
得很,得很,de5 hen3],very (much good etc),,,,,,,,,,,,,,,,,
得心應手,得心应手,de2 xin1 ying4 shou3],lit. what the heart wishes the hand accomplishes (idiom) skilled at the job,entirely in one's element,going smoothly and easily,,,,,,,,,,,,,,,
得悉,得悉,de2 xi1],to learn about,to be informed,,,,,,,,,,,,,,,,
得意,得意,de2 yi4],proud of oneself,pleased with oneself,complacent,,,,,,,,,,,,,,,
得意忘形,得意忘形,de2 yi4 wang4 xing2],so pleased as to lose one's sense of measure,beside oneself with joy,,,,,,,,,,,,,,,,
得意揚揚,得意扬扬,de2 yi4 yang2 yang2],variant of 得意洋洋[de2 yi4 yang2 yang2],,,,,,,,,,,,,,,,,
得意洋洋,得意洋洋,de2 yi4 yang2 yang2],joyfully satisfied,to be immensely proud of oneself,proudly,an air of complacency,,,,,,,,,,,,,,
得意門生,得意门生,de2 yi4 men2 sheng1],favorite pupil,,,,,,,,,,,,,,,,,
